Season,Rank,Player,Debut,Age,Yrs,G,MP,FG,FGA,3P,3PA,FT,FTA,ORB,TRB,AST,STL,BLK,TOV,PF,PTS,FG%,3P%,FT%,MP (Per Game),PTS (Per Game),TRB (Per Game),AST (Per Game),STL (Per Game),BLK (Per Game)
2020-2021,90,Patrick Williams,"Dec 23, '20, CHI vs. ATL",19,5,229,6349,833,1806,271,668,286,364,223,966,316,200,166,302,410,2223,.461,.406,.786,27.7,9.7,4.2,1.4,0.9,0.7
2020-2021,91,Dylan Windler,"Dec 23, '20, CLE vs. CHO",24,4,101,1090,111,261,61,176,36,45,44,212,78,36,15,51,90,319,.425,.347,.800,10.8,3.2,2.1,0.8,0.4,0.1
2020-2021,92,Cassius Winston,"Jan 11, '21, WAS vs. PHO",22,2,29,137,18,44,10,23,9,10,0,10,19,2,1,8,17,55,.409,.435,.900,4.7,1.9,0.3,0.7,0.1,0.0
2020-2021,93,James Wiseman,"Dec 22, '20, GSW @ BRK",19,4,148,2799,569,1016,16,61,196,287,238,830,110,30,102,177,370,1350,.560,.262,.683,18.9,9.1,5.6,0.7,0.2,0.7
2020-2021,94,Robert Woodard II,"Dec 27, '20, SAC vs. PHO",21,2,25,87,10,36,2,10,5,10,9,27,5,1,4,2,7,27,.278,.200,.500,3.5,1.1,1.1,0.2,0.0,0.2
2021-2022,1,Santi Aldama,"Oct 27, '21, MEM @ POR",21,4,196,4357,687,1491,250,731,209,299,232,1003,337,117,125,179,297,1833,.461,.342,.699,22.2,9.4,5.1,1.7,0.6,0.6
2021-2022,2,Jose Alvarado,"Nov 3, '21, NOP @ SAC",23,4,182,3454,514,1229,217,624,150,202,84,393,504,214,35,175,313,1395,.418,.348,.743,19.0,7.7,2.2,2.8,1.2,0.2
2021-2022,3,Joel Ayayi,"Oct 25, '21, WAS @ BRK",21,1,7,20,1,6,0,1,0,0,1,3,4,0,0,0,0,2,.167,.000,,2.9,0.3,0.4,0.6,0.0,0.0
2021-2022,4,Dalano Banton,"Oct 20, '21, TOR vs. WAS",22,4,172,2408,421,1022,117,382,173,242,97,398,321,96,56,186,191,1132,.412,.306,.715,14.0,6.6,2.3,1.9,0.6,0.3
2021-2022,5,Cat Barber,"Dec 25, '21, ATL @ NYK",27,1,3,13,0,4,0,0,0,4,1,3,3,0,0,1,1,0,.000,,.000,4.3,0.0,1.0,1.0,0.0,0.0
2021-2022,6,Scottie Barnes,"Oct 20, '21, TOR vs. WAS",20,4,225,7854,1475,3120,248,797,594,781,544,1681,1094,256,214,505,507,3792,.473,.311,.761,34.9,16.9,7.5,4.9,1.1,1.0
2021-2022,7,Paris Bass,"Jan 2, '22, PHO @ CHO",26,1,2,7,2,6,0,2,2,2,2,4,0,1,0,2,2,6,.333,.000,1.000,3.5,3.0,2.0,0.0,0.5,0.0
2021-2022,8,Charles Bassey,"Oct 20, '21, PHI @ NOP",21,4,93,1053,176,276,3,13,47,76,144,393,84,35,87,74,158,402,.638,.231,.618,11.3,4.3,4.2,0.9,0.4,0.9
2021-2022,9,Leandro Bolmaro,"Oct 20, '21, MIN vs. HOU",21,2,49,309,20,74,5,22,11,13,20,50,28,9,1,20,36,56,.270,.227,.846,6.3,1.1,1.0,0.6,0.2,0.0
2021-2022,10,Brandon Boston Jr.,"Oct 25, '21, LAC vs. POR",20,4,128,1986,344,844,90,285,151,190,59,278,160,80,27,102,146,929,.408,.316,.795,15.5,7.3,2.2,1.3,0.6,0.2
2021-2022,11,James Bouknight,"Oct 22, '21, CHO @ CLE",21,3,79,900,136,375,63,188,48,63,31,133,73,22,7,49,81,383,.363,.335,.762,11.4,4.8,1.7,0.9,0.3,0.1
2021-2022,12,Chaundee Brown Jr.,"Dec 17, '21, LAL @ MIN",23,1,5,104,10,32,6,18,5,6,1,16,4,2,0,1,7,31,.313,.333,.833,20.8,6.2,3.2,0.8,0.4,0.0
2021-2022,13,Greg Brown III,"Oct 23, '21, POR vs. PHO",20,3,70,773,97,229,21,71,53,86,43,163,42,30,33,46,108,268,.424,.296,.616,11.0,3.8,2.3,0.6,0.4,0.5
2021-2022,14,Shaq Buchanan,"Dec 26, '21, MEM @ SAC",25,1,2,10,1,4,0,2,0,0,1,2,2,1,0,2,1,2,.250,.000,,5.0,1.0,1.0,1.0,0.5,0.0
2021-2022,15,Jared Butler,"Oct 20, '21, UTA vs. OKC",21,4,106,1200,215,475,65,204,58,74,19,123,246,57,18,101,132,553,.453,.319,.784,11.3,5.2,1.2,2.3,0.5,0.2
2021-2022,16,Ahmad Caver,"Jan 5, '22, IND vs. BRK",25,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,2,1.000,,,1.0,2.0,0.0,0.0,0.0,0.0
2021-2022,17,Justin Champagnie,"Oct 22, '21, TOR @ BOS",20,4,62,691,94,207,31,97,24,31,71,164,40,27,16,23,63,243,.454,.320,.774,11.1,3.9,2.6,0.6,0.4,0.3
2021-2022,18,Josh Christopher,"Oct 20, '21, HOU @ MIN",20,2,138,2120,377,829,77,278,128,173,72,257,223,98,28,174,156,959,.455,.277,.740,15.4,6.9,1.9,1.6,0.7,0.2
2021-2022,19,Sharife Cooper,"Oct 21, '21, ATL vs. DAL",20,1,13,39,3,14,1,6,0,0,0,5,5,0,0,5,1,7,.214,.167,,3.0,0.5,0.4,0.4,0.0,0.0
2021-2022,20,Petr Cornelie,"Oct 25, '21, DEN vs. CLE",26,1,13,38,5,15,1,8,3,4,7,14,3,1,1,4,7,14,.333,.125,.750,2.9,1.1,1.1,0.2,0.1,0.1
2021-2022,21,Jarron Cumberland,"Dec 27, '21, POR vs. DAL",24,1,3,12,1,2,0,1,0,0,1,3,1,0,0,0,2,2,.500,.000,,4.0,0.7,1.0,0.3,0.0,0.0
2021-2022,22,Cade Cunningham,"Oct 30, '21, DET vs. ORL",20,4,160,5351,1243,2857,303,898,489,578,128,857,1097,163,89,586,445,3278,.435,.337,.846,33.4,20.5,5.4,6.9,1.0,0.6
2021-2022,23,Javin DeLaurier,"Jan 1, '22, MIL vs. NOP",23,1,1,3,0,0,0,0,0,0,0,1,0,1,0,0,1,0,,,,3.0,0.0,1.0,0.0,1.0,0.0
2021-2022,24,Ayo Dosunmu,"Oct 20, '21, CHI @ DET",22,4,259,7200,1049,2079,283,775,245,315,142,747,823,208,104,344,591,2626,.505,.365,.778,27.8,10.1,2.9,3.2,0.8,0.4
2021-2022,25,Jeff Dowtin,"Nov 3, '21, GSW vs. CHO",24,4,54,589,59,138,16,52,14,19,19,69,77,24,5,16,24,148,.428,.308,.737,10.9,2.7,1.3,1.4,0.4,0.1
2021-2022,26,Chris Duarte,"Oct 20, '21, IND @ CHO",24,4,172,3207,480,1182,198,568,183,225,90,461,226,109,27,158,245,1341,.406,.349,.813,18.6,7.8,2.7,1.3,0.6,0.2
2021-2022,27,David Duke Jr.,"Dec 8, '21, BRK @ HOU",22,4,50,628,86,208,13,56,33,43,43,106,45,26,8,30,72,218,.413,.232,.767,12.6,4.4,2.1,0.9,0.5,0.2
2021-2022,28,Jaime Echenique,"Dec 30, '21, WAS vs. CLE",24,1,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,3.0,0.0,0.0,0.0,0.0,0.0
2021-2022,29,Kessler Edwards,"Nov 16, '21, BRK vs. GSW",21,4,143,1657,180,444,85,245,32,43,76,275,69,53,34,60,153,477,.405,.347,.744,11.6,3.3,1.9,0.5,0.4,0.2
2021-2022,30,Rob Edwards,"Dec 29, '21, OKC @ PHO",25,1,2,11,1,4,1,4,0,0,0,3,0,0,0,1,0,3,.250,.250,,5.5,1.5,1.5,0.0,0.0,0.0
2021-2022,31,Aleem Ford,"Dec 17, '21, ORL vs. MIA",24,1,5,74,6,20,2,15,0,0,2,15,2,1,0,4,7,14,.300,.133,,14.8,2.8,3.0,0.4,0.2,0.0
2021-2022,32,Marcus Garrett,"Oct 21, '21, MIA vs. MIL",23,1,12,128,5,21,1,4,2,5,9,23,7,5,3,2,16,13,.238,.250,.400,10.7,1.1,1.9,0.6,0.4,0.3
2021-2022,33,Usman Garuba,"Oct 20, '21, HOU @ MIN",19,3,105,1227,106,227,29,80,35,56,144,397,82,55,43,55,165,276,.467,.363,.625,11.7,2.6,3.8,0.8,0.5,0.4
2021-2022,34,Luka Garza,"Oct 23, '21, DET @ CHI",23,4,92,787,176,358,40,126,100,144,114,203,42,17,9,40,125,492,.492,.317,.694,8.6,5.3,2.2,0.5,0.2,0.1
2021-2022,35,Josh Giddey,"Oct 20, '21, OKC @ UTA",19,4,236,6786,1341,2901,246,789,302,406,389,1698,1379,183,106,620,381,3230,.462,.312,.744,28.8,13.7,7.2,5.8,0.8,0.4
2021-2022,36,Jordan Goodwin,"Dec 28, '21, WAS @ MIA",23,3,121,2167,299,738,80,260,97,128,145,459,323,106,44,113,172,775,.405,.308,.758,17.9,6.4,3.8,2.7,0.9,0.4
2021-2022,37,Hassani Gravett,"Dec 17, '21, ORL vs. MIA",25,1,8,171,18,38,11,26,3,4,1,21,20,5,1,9,13,50,.474,.423,.750,21.4,6.3,2.6,2.5,0.6,0.1
2021-2022,38,Jalen Green,"Oct 20, '21, HOU @ MIN",19,4,251,8188,1701,4065,608,1818,933,1163,130,1053,816,198,72,597,393,4943,.418,.334,.802,32.6,19.7,4.2,3.3,0.8,0.3
2021-2022,39,Quentin Grimes,"Oct 20, '21, NYK vs. BOS",21,4,191,4400,566,1305,343,917,153,202,102,505,294,130,49,154,366,1628,.434,.374,.757,23.0,8.5,2.6,1.5,0.7,0.3
2021-2022,40,Tyler Hall,"Dec 25, '21, NYK vs. ATL",24,1,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,2.0,0.0,0.0,0.0,0.0,0.0
2021-2022,41,Sam Hauser,"Nov 20, '21, BOS vs. OKC",24,4,205,3632,514,1145,399,961,31,38,101,576,184,86,53,72,230,1458,.449,.415,.816,17.7,7.1,2.8,0.9,0.4,0.3
2021-2022,42,Aaron Henry,"Oct 20, '21, PHI @ NOP",22,1,6,17,1,5,0,1,0,0,0,1,0,0,2,2,2,2,.200,.000,,2.8,0.3,0.2,0.0,0.0,0.3
2021-2022,43,Malcolm Hill,"Dec 25, '21, ATL @ NYK",26,2,24,221,26,56,14,39,11,14,11,38,8,7,3,3,25,77,.464,.359,.786,9.2,3.2,1.6,0.3,0.3,0.1
2021-2022,44,Jay Huff,"Nov 6, '21, LAL @ POR",23,4,57,568,109,207,52,128,48,59,25,108,35,13,40,23,70,318,.527,.406,.814,10.0,5.6,1.9,0.6,0.2,0.7
2021-2022,45,Feron Hunt,"Apr 8, '22, NYK @ WAS",22,1,2,8,0,2,0,0,0,0,1,1,1,1,0,1,1,0,.000,,,4.0,0.0,0.5,0.5,0.5,0.0
2021-2022,46,Bones Hyland,"Oct 25, '21, DEN vs. CLE",21,4,173,3060,582,1460,313,855,226,268,42,391,467,114,43,226,315,1703,.399,.366,.843,17.7,9.8,2.3,2.7,0.7,0.2
2021-2022,47,Isaiah Jackson,"Oct 23, '21, IND vs. MIA",20,4,163,2438,464,780,7,34,235,350,278,697,116,93,214,135,397,1170,.595,.206,.671,15.0,7.2,4.3,0.7,0.6,1.3
2021-2022,48,DeJon Jarreau,"Oct 29, '21, IND @ BRK",24,2,10,151,17,50,4,13,5,11,8,44,26,6,2,9,14,43,.340,.308,.455,15.1,4.3,4.4,2.6,0.6,0.2
2021-2022,49,David Johnson,"Oct 27, '21, TOR vs. IND",20,1,2,2,0,1,0,1,0,0,0,0,0,0,0,0,0,0,.000,.000,,1.0,0.0,0.0,0.0,0.0,0.0
2021-2022,50,Jalen Johnson,"Oct 21, '21, ATL vs. DAL",20,4,173,3967,734,1456,142,430,224,317,170,1049,427,142,110,232,306,1834,.504,.330,.707,22.9,10.6,6.1,2.5,0.8,0.6
2021-2022,51,Keon Johnson,"Nov 7, '21, LAC vs. CHO",19,4,105,1570,221,612,94,280,88,116,51,197,163,62,27,116,166,624,.361,.336,.759,15.0,5.9,1.9,1.6,0.6,0.3
2021-2022,52,Carlik Jones,"Dec 23, '21, DAL vs. MIL",24,2,12,79,7,24,3,7,7,10,2,8,11,3,0,5,2,24,.292,.429,.700,6.6,2.0,0.7,0.9,0.3,0.0
2021-2022,53,Herbert Jones,"Oct 20, '21, NOP vs. PHI",23,4,228,6862,834,1731,235,637,407,497,276,868,546,352,168,295,693,2310,.482,.369,.819,30.1,10.1,3.8,2.4,1.5,0.7
2021-2022,54,Kai Jones,"Oct 22, '21, CHO @ CLE",21,3,84,757,91,154,5,21,31,46,52,166,26,24,41,45,91,218,.591,.238,.674,9.0,2.6,2.0,0.3,0.3,0.5
2021-2022,55,Georgios Kalaitzakis,"Oct 19, '21, MIL vs. BRK",23,1,13,214,31,67,10,26,14,30,6,21,12,11,2,20,19,86,.463,.385,.467,16.5,6.6,1.6,0.9,0.8,0.2
2021-2022,56,Braxton Key,"Jan 7, '22, PHI vs. SAS",24,3,34,266,41,90,8,26,15,23,16,69,20,12,12,12,31,105,.456,.308,.652,7.8,3.1,2.0,0.6,0.4,0.4
2021-2022,57,Corey Kispert,"Oct 22, '21, WAS vs. IND",22,4,250,6486,987,2077,494,1296,263,331,123,706,356,120,50,224,363,2731,.475,.381,.795,25.9,10.9,2.8,1.4,0.5,0.2
2021-2022,58,Vit Krejci,"Oct 20, '21, OKC @ UTA",21,4,94,1541,146,343,69,204,30,39,42,201,141,41,18,61,151,391,.426,.338,.769,16.4,4.2,2.1,1.5,0.4,0.2
2021-2022,59,Arnoldas Kulboka,"Dec 10, '21, CHO vs. SAC",24,1,2,5,0,1,0,1,0,0,0,0,0,0,0,0,1,0,.000,.000,,2.5,0.0,0.0,0.0,0.0,0.0
2021-2022,60,Jonathan Kuminga,"Oct 30, '21, GSW vs. OKC",19,4,233,5078,1081,2107,183,544,496,718,243,918,391,149,103,325,518,2841,.513,.336,.691,21.8,12.2,3.9,1.7,0.6,0.4
2021-2022,61,Jock Landale,"Oct 20, '21, SAS vs. ORL",26,4,193,2487,406,794,63,219,175,230,290,636,192,49,83,128,267,1050,.511,.288,.761,12.9,5.4,3.3,1.0,0.3,0.4
2021-2022,62,Scottie Lewis,"Dec 13, '21, CHO @ DAL",21,1,2,7,0,0,0,0,1,2,0,0,1,1,0,0,0,1,,,.500,3.5,0.5,0.0,0.5,0.5,0.0
2021-2022,63,Isaiah Livers,"Dec 16, '21, DET @ IND",23,3,94,2051,201,494,123,344,56,71,58,248,87,54,40,61,183,581,.407,.358,.789,21.8,6.2,2.6,0.9,0.6,0.4
2021-2022,64,Gabriel Lundberg,"Apr 3, '22, PHO @ OKC",27,1,4,44,5,19,3,8,0,0,2,7,11,3,0,3,7,13,.263,.375,,11.0,3.3,1.8,2.8,0.8,0.0
2021-2022,65,Sandro Mamukelashvili,"Oct 19, '21, MIL vs. BRK",22,4,148,1691,256,552,87,250,93,128,162,468,139,33,38,78,126,692,.464,.348,.727,11.4,4.7,3.2,0.9,0.2,0.3
2021-2022,66,Tre Mann,"Oct 20, '21, OKC @ UTA",20,4,181,3856,643,1566,250,715,171,217,84,513,415,145,30,223,273,1707,.411,.350,.788,21.3,9.4,2.8,2.3,0.8,0.2
2021-2022,67,Miles McBride,"Oct 22, '21, NYK @ ORL",21,4,192,2968,389,943,207,568,100,128,59,243,284,119,21,81,247,1085,.413,.364,.781,15.5,5.7,1.3,1.5,0.6,0.1
2021-2022,68,Mac McClung,"Dec 29, '21, CHI vs. ATL",23,3,5,71,12,26,5,14,4,6,3,14,12,1,1,6,8,33,.462,.357,.667,14.2,6.6,2.8,2.4,0.2,0.2
2021-2022,69,Cameron McGriff,"Dec 27, '21, POR vs. DAL",24,1,3,46,5,14,2,6,2,2,6,15,3,0,1,0,7,14,.357,.333,1.000,15.3,4.7,5.0,1.0,0.0,0.3
2021-2022,70,JaQuori McLaughlin,"Nov 2, '21, DAL vs. MIA",24,1,4,11,0,2,0,1,0,0,0,0,2,0,0,0,1,0,.000,.000,,2.8,0.0,0.0,0.5,0.0,0.0
2021-2022,71,Davion Mitchell,"Oct 20, '21, SAC @ POR",23,4,253,5331,746,1734,244,756,132,189,82,426,764,138,48,269,416,1868,.430,.323,.698,21.1,7.4,1.7,3.0,0.5,0.2
2021-2022,72,Evan Mobley,"Oct 20, '21, CLE @ MEM",20,4,222,7314,1436,2632,89,308,573,825,495,1967,622,187,343,421,549,3534,.546,.289,.695,32.9,15.9,8.9,2.8,0.8,1.5
2021-2022,73,Moses Moody,"Oct 19, '21, GSW @ LAL",19,4,204,2938,440,968,191,527,163,217,120,424,151,73,47,109,213,1234,.455,.362,.751,14.4,6.0,2.1,0.7,0.4,0.2
2021-2022,74,Xavier Moon,"Dec 27, '21, LAC vs. BRK",27,3,28,276,43,106,8,34,4,7,10,35,50,10,6,12,19,98,.406,.235,.571,9.9,3.5,1.3,1.8,0.4,0.2
2021-2022,75,Ade Murkey,"Dec 22, '21, SAC vs. LAC",24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0
2021-2022,76,Trey Murphy III,"Oct 20, '21, NOP vs. PHI",21,4,211,5440,851,1886,478,1234,381,439,158,767,304,178,86,132,315,2561,.451,.387,.868,25.8,12.1,3.6,1.4,0.8,0.4
2021-2022,77,RJ Nembhard Jr.,"Oct 22, '21, CLE vs. CHO",22,1,14,63,6,18,0,2,3,4,3,7,12,1,0,3,2,15,.333,.000,.750,4.5,1.1,0.5,0.9,0.1,0.0
2021-2022,78,Daishen Nix,"Nov 29, '21, HOU vs. OKC",19,4,99,1238,117,329,53,184,44,74,26,138,181,51,7,121,83,331,.356,.288,.595,12.5,3.3,1.4,1.8,0.5,0.1
2021-2022,79,Eugene Omoruyi,"Oct 29, '21, DAL @ DEN",24,3,87,1056,184,400,39,137,85,128,80,203,65,55,8,55,155,492,.460,.285,.664,12.1,5.7,2.3,0.7,0.6,0.1
2021-2022,80,Jaysean Paige,"Jan 1, '22, DET vs. SAS",27,1,1,7,0,3,0,2,0,0,0,1,1,0,0,1,2,0,.000,.000,,7.0,0.0,1.0,1.0,0.0,0.0
2021-2022,81,Trayvon Palmer,"Dec 29, '21, DET vs. NYK",27,1,1,17,0,1,0,0,0,0,0,2,0,0,0,1,2,0,.000,,,17.0,0.0,2.0,0.0,0.0,0.0
2021-2022,82,Kevin Pangos,"Oct 22, '21, CLE vs. CHO",29,1,24,166,15,46,6,26,3,4,2,11,30,3,0,7,11,39,.326,.231,.750,6.9,1.6,0.5,1.3,0.1,0.0
2021-2022,83,Jamorko Pickett,"Oct 23, '21, DET @ CHI",24,1,13,176,18,50,13,39,1,2,6,32,7,0,7,5,12,50,.360,.333,.500,13.5,3.8,2.5,0.5,0.0,0.5
2021-2022,84,Yves Pons,"Nov 12, '21, MEM vs. PHO",22,1,12,71,5,16,3,9,0,2,5,12,1,1,4,1,6,13,.313,.333,.000,5.9,1.1,1.0,0.1,0.1,0.3
2021-2022,85,Micah Potter,"Jan 1, '22, DET vs. SAS",23,4,31,370,41,85,19,46,8,10,27,101,15,7,10,13,29,109,.482,.413,.800,11.9,3.5,3.3,0.5,0.2,0.3
2021-2022,86,Myles Powell,"Dec 20, '21, PHI @ BOS",24,1,11,52,5,17,1,6,2,2,1,6,3,1,0,3,8,13,.294,.167,1.000,4.7,1.2,0.5,0.3,0.1,0.0
2021-2022,87,Joshua Primo,"Oct 20, '21, SAS vs. ORL",19,3,56,1068,111,299,45,150,51,68,35,127,99,21,26,72,87,318,.371,.300,.750,19.1,5.7,2.3,1.8,0.4,0.5
2021-2022,88,Trevelin Queen,"Dec 18, '21, HOU @ DET",24,4,33,314,37,103,15,57,18,21,18,53,28,14,11,22,26,107,.359,.263,.857,9.5,3.2,1.6,0.8,0.4,0.3
2021-2022,89,Neemias Queta,"Dec 17, '21, SAC vs. MEM",22,4,69,857,143,233,0,2,49,71,109,270,43,19,52,35,120,335,.614,.000,.690,12.4,4.9,3.9,0.6,0.3,0.8
2021-2022,90,Austin Reaves,"Oct 22, '21, LAL vs. PHO",23,4,227,6561,978,2014,347,952,610,719,152,811,872,148,68,358,394,2913,.486,.364,.848,28.9,12.8,3.6,3.8,0.7,0.3
2021-2022,91,Jeremiah Robinson-Earl,"Oct 20, '21, OKC @ UTA",21,4,156,2742,356,820,129,380,110,138,222,657,143,82,33,96,205,951,.434,.339,.797,17.6,6.1,4.2,0.9,0.5,0.2
2021-2022,92,Matt Ryan,"Apr 10, '22, BOS @ MEM",24,4,71,746,94,242,77,192,23,26,10,67,34,12,2,29,59,288,.388,.401,.885,10.5,4.1,0.9,0.5,0.2,0.0
2021-2022,93,Olivier Sarr,"Dec 28, '21, OKC @ SAC",22,3,46,633,84,150,16,43,39,51,56,160,25,7,27,29,87,223,.560,.372,.765,13.8,4.8,3.5,0.5,0.2,0.6
2021-2022,94,Jordan Schakel,"Dec 26, '21, WAS vs. PHI",23,2,6,36,2,13,2,7,2,2,2,8,1,2,0,1,1,8,.154,.286,1.000,6.0,1.3,1.3,0.2,0.3,0.0
2021-2022,95,Tre Scott,"Dec 22, '21, CLE @ BOS",25,1,2,11,3,6,0,1,0,0,1,2,0,1,1,0,2,6,.500,.000,,5.5,3.0,1.0,0.0,0.5,0.5
2021-2022,96,Alperen Sengun,"Oct 20, '21, HOU @ MIN",19,4,236,6514,1406,2704,91,324,713,1000,653,1936,923,237,210,560,754,3616,.520,.281,.713,27.6,15.3,8.2,3.9,1.0,0.9
2021-2022,97,Day'Ron Sharpe,"Oct 24, '21, BRK vs. CHO",20,4,145,1925,356,634,13,39,142,227,346,761,143,53,92,144,284,867,.562,.333,.626,13.3,6.0,5.2,1.0,0.4,0.6
2021-2022,98,Marko Simonovic,"Nov 22, '21, CHI vs. IND",22,2,16,55,6,22,2,9,9,13,6,12,0,1,1,2,11,23,.273,.222,.692,3.4,1.4,0.8,0.0,0.1,0.1
2021-2022,99,Zavier Simpson,"Apr 5, '22, OKC vs. POR",24,2,11,335,36,106,6,25,8,9,6,41,55,12,7,20,26,86,.340,.240,.889,30.5,7.8,3.7,5.0,1.1,0.6
2021-2022,100,Jericho Sims,"Oct 20, '21, NYK vs. BOS",23,4,162,2251,179,243,0,1,44,76,247,645,86,40,78,76,239,402,.737,.000,.579,13.9,2.5,4.0,0.5,0.2,0.5
2021-2022,101,Javonte Smart,"Dec 4, '21, MIL vs. MIA",22,2,18,201,19,60,8,27,5,6,5,24,16,6,3,11,12,51,.317,.296,.833,11.2,2.8,1.3,0.9,0.3,0.2
2021-2022,102,Xavier Sneed,"Dec 31, '21, MEM vs. SAS",24,2,13,87,7,20,4,14,4,4,2,11,6,0,1,3,9,22,.350,.286,1.000,6.7,1.7,0.8,0.5,0.0,0.1
2021-2022,103,Jaden Springer,"Oct 20, '21, PHI @ NOP",19,4,74,626,79,191,12,55,43,54,43,100,55,46,20,39,84,213,.414,.218,.796,8.5,2.9,1.4,0.7,0.6,0.3
2021-2022,104,Jalen Suggs,"Oct 20, '21, ORL @ SAS",20,4,202,5367,868,2062,321,972,405,520,146,668,667,273,117,443,537,2462,.421,.330,.779,26.6,12.2,3.3,3.3,1.4,0.6
2021-2022,105,Craig Sword,"Dec 28, '21, WAS @ MIA",28,1,3,19,3,4,0,1,0,0,0,0,1,4,0,1,7,6,.750,.000,,6.3,2.0,0.0,0.3,1.3,0.0
2021-2022,106,Keifer Sykes,"Dec 29, '21, IND vs. CHO",28,1,32,566,69,190,27,90,15,17,8,45,62,12,4,33,51,180,.363,.300,.882,17.7,5.6,1.4,1.9,0.4,0.1
2021-2022,107,Terry Taylor,"Jan 5, '22, IND vs. BRK",22,3,95,1166,194,334,19,66,46,67,139,256,61,22,16,39,104,453,.581,.288,.687,12.3,4.8,2.7,0.6,0.2,0.2
2021-2022,108,Jon Teske,"Jan 3, '22, MEM @ BRK",24,1,3,8,0,1,0,0,0,2,0,2,1,1,0,0,1,0,.000,,.000,2.7,0.0,0.7,0.3,0.3,0.0
2021-2022,109,Cam Thomas,"Oct 19, '21, BRK @ MIL",20,4,207,4767,1082,2446,291,829,621,725,58,525,405,110,32,290,293,3076,.442,.351,.857,23.0,14.9,2.5,2.0,0.5,0.2
2021-2022,110,JT Thor,"Oct 22, '21, CHO @ CLE",19,4,168,2028,206,483,77,234,58,89,90,343,84,43,63,71,154,547,.427,.329,.652,12.1,3.3,2.0,0.5,0.3,0.4
2021-2022,111,Isaiah Todd,"Oct 25, '21, WAS @ BRK",20,2,18,135,10,45,5,26,4,8,5,24,8,5,2,6,8,29,.222,.192,.500,7.5,1.6,1.3,0.4,0.3,0.1
2021-2022,112,Franz Wagner,"Oct 20, '21, ORL @ SAS",20,4,256,8204,1746,3662,371,1124,850,995,249,1206,925,264,91,484,573,4713,.477,.330,.854,32.0,18.4,4.7,3.6,1.0,0.4
2021-2022,113,Ish Wainright,"Nov 19, '21, PHO vs. DAL",27,3,116,1336,132,355,83,252,35,45,75,207,69,62,29,37,174,382,.372,.329,.778,11.5,3.3,1.8,0.6,0.5,0.3
2021-2022,114,M.J. Walker,"Dec 31, '21, PHO @ BOS",23,1,2,8,0,4,0,2,0,0,0,1,1,2,0,0,1,0,.000,.000,,4.0,0.0,0.5,0.5,1.0,0.0
2021-2022,115,Duane Washington Jr.,"Oct 29, '21, IND @ BRK",21,2,79,1362,267,683,121,326,62,85,6,119,148,32,7,91,89,717,.391,.371,.729,17.2,9.1,1.5,1.9,0.4,0.1
2021-2022,116,Lindy Waters III,"Feb 11, '22, OKC @ PHI",24,4,124,1632,232,565,174,469,26,32,38,239,103,48,31,36,128,664,.411,.371,.813,13.2,5.4,1.9,0.8,0.4,0.3
2021-2022,117,Trendon Watford,"Nov 14, '21, POR @ DEN",21,4,185,3106,520,977,68,195,247,323,155,667,307,85,63,194,370,1355,.532,.349,.765,16.8,7.3,3.6,1.7,0.5,0.3
2021-2022,118,Joe Wieskamp,"Nov 10, '21, SAS vs. SAC",22,2,38,255,23,70,17,55,7,13,4,18,12,4,3,3,17,70,.329,.309,.538,6.7,1.8,0.5,0.3,0.1,0.1
2021-2022,119,Aaron Wiggins,"Nov 14, '21, OKC vs. BRK",23,4,223,4232,641,1270,187,475,189,242,203,659,271,147,51,186,326,1658,.505,.394,.781,19.0,7.4,3.0,1.2,0.7,0.2
2021-2022,120,Lindell Wigginton,"Jan 13, '22, MIL vs. GSW",23,3,29,294,46,103,15,46,29,46,3,32,37,5,3,25,25,136,.447,.326,.630,10.1,4.7,1.1,1.3,0.2,0.1
2021-2022,121,Brandon Williams,"Dec 27, '21, POR vs. DAL",22,3,46,774,127,345,34,123,81,117,24,91,113,25,11,67,58,369,.368,.276,.692,16.8,8.0,2.0,2.5,0.5,0.2
2021-2022,122,Ziaire Williams,"Oct 20, '21, MEM vs. CLE",20,4,171,3404,489,1157,177,594,157,196,99,480,199,105,34,163,312,1312,.423,.298,.801,19.9,7.7,2.8,1.2,0.6,0.2
2021-2022,123,McKinley Wright IV,"Oct 20, '21, MIN vs. HOU",23,2,32,354,48,101,10,30,13,19,9,47,61,8,5,20,25,119,.475,.333,.684,11.1,3.7,1.5,1.9,0.3,0.2
2021-2022,124,Moses Wright,"Dec 22, '21, LAC @ SAC",23,1,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,.250,.000,1.000,3.5,1.3,0.8,0.5,0.0,0.3
2021-2022,125,Gabe York,"Apr 9, '22, IND @ PHI",28,2,5,77,10,28,7,24,5,7,0,8,9,4,1,1,9,32,.357,.292,.714,15.4,6.4,1.6,1.8,0.8,0.2
2021-2022,126,Omer Yurtseven,"Oct 21, '21, MIA vs. MIL",23,3,113,1334,245,458,9,42,62,95,165,525,80,27,40,82,152,561,.535,.214,.653,11.8,5.0,4.6,0.7,0.2,0.4
