rank,team,g,mp,fg,fga,fg%,3p,3pa,3p%,2p,2pa,2p%,ft,fta,ft%,orb,drb,trb,ast,stl,blk,tov,pf,pts,season
2,Boston Celtics,82,19830,3601,7396,0.487,1351,3482,0.388,2250,3914,0.575,1334,1654,0.807,876,2923,3799,2207,557,538,979,1326,9887,2023-2024
3,Oklahoma City Thunder,82,19805,3653,7324,0.499,1090,2805,0.389,2563,4519,0.567,1451,1759,0.825,722,2725,3447,2223,694,538,1039,1545,9847,2023-2024
4,Milwaukee Bucks,82,19805,3538,7258,0.487,1163,3122,0.373,2375,4136,0.574,1517,1960,0.774,772,2850,3622,2176,558,413,1059,1574,9756,2023-2024
5,Atlanta Hawks,82,19855,3529,7584,0.465,1125,3092,0.364,2404,4492,0.535,1520,1906,0.797,1024,2639,3663,2180,615,369,1110,1522,9703,2023-2024
6,Los Angeles Lakers,82,19855,3580,7177,0.499,969,2572,0.377,2611,4605,0.567,1550,1983,0.782,676,2859,3535,2340,605,453,1146,1283,9679,2023-2024
7,Dallas Mavericks,82,19705,3535,7352,0.481,1197,3242,0.369,2338,4110,0.569,1397,1842,0.758,797,2724,3521,2106,563,406,1027,1500,9664,2023-2024
8,Golden State Warriors,82,19830,3582,7515,0.477,1211,3191,0.38,2371,4324,0.548,1282,1644,0.78,996,2834,3830,2402,572,377,1174,1598,9657,2023-2024
9,Sacramento Kings,82,19855,3553,7455,0.477,1178,3219,0.366,2375,4236,0.561,1274,1710,0.745,888,2719,3607,2324,625,342,1078,1632,9558,2023-2024
10,Phoenix Suns,82,19780,3482,7063,0.493,1020,2671,0.382,2462,4392,0.561,1548,1915,0.808,831,2783,3614,2218,610,492,1221,1475,9532,2023-2024
11,Utah Jazz,82,19805,3443,7371,0.467,1060,2993,0.354,2383,4378,0.544,1538,1853,0.83,1002,2725,3727,2232,537,458,1285,1523,9484,2023-2024
12,Los Angeles Clippers,82,19705,3473,7108,0.489,1036,2719,0.381,2437,4389,0.555,1499,1817,0.825,822,2701,3523,2097,640,413,1078,1519,9481,2023-2024
13,New Orleans Pelicans,82,19705,3484,7165,0.486,1023,2673,0.383,2461,4492,0.548,1445,1873,0.771,852,2753,3605,2210,684,378,1067,1508,9436,2023-2024
14,Denver Nuggets,82,19705,3610,7279,0.496,958,2560,0.374,2652,4719,0.562,1240,1628,0.762,881,2763,3644,2415,585,457,1036,1489,9418,2023-2024
15,Philadelphia 76ers,82,19780,3404,7331,0.464,992,2733,0.363,2412,4598,0.525,1597,1934,0.826,906,2616,3522,2041,694,492,984,1668,9397,2023-2024
16,Houston Rockets,82,19855,3425,7459,0.459,1043,2964,0.352,2382,4495,0.53,1482,1916,0.773,940,2787,3727,2035,639,375,1045,1702,9375,2023-2024
