season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
2021-2022,62,Scottie Lewis,21,1,2,7,0,0,0,0,1,2,0,0,1,1,0,0,0,1,,,0.5,3.5,0.5,0.0,0.5,0.5,0.0,2021-12-13, CHO @ DAL
2021-2022,63,Isaiah Livers,23,3,94,2051,201,494,123,344,56,71,58,248,87,54,40,61,183,581,0.407,0.358,0.789,21.8,6.2,2.6,0.9,0.6,0.4,2021-12-16, DET @ IND
2021-2022,64,Gabriel Lundberg,27,1,4,44,5,19,3,8,0,0,2,7,11,3,0,3,7,13,0.263,0.375,,11.0,3.3,1.8,2.8,0.8,0.0,2022-04-03,PHO @ OKC
2021-2022,65,Sandro Mamukelashvili,22,4,148,1691,256,552,87,250,93,128,162,468,139,33,38,78,126,692,0.464,0.348,0.727,11.4,4.7,3.2,0.9,0.2,0.3,2021-10-19, MIL vs. BRK
2021-2022,66,Tre Mann,20,4,181,3856,643,1566,250,715,171,217,84,513,415,145,30,223,273,1707,0.411,0.35,0.788,21.3,9.4,2.8,2.3,0.8,0.2,2021-10-20, OKC @ UTA
2021-2022,67,Miles McBride,21,4,192,2968,389,943,207,568,100,128,59,243,284,119,21,81,247,1085,0.413,0.364,0.781,15.5,5.7,1.3,1.5,0.6,0.1,2021-10-22, NYK @ ORL
2021-2022,68,Mac McClung,23,3,5,71,12,26,5,14,4,6,3,14,12,1,1,6,8,33,0.462,0.357,0.667,14.2,6.6,2.8,2.4,0.2,0.2,2021-12-29, CHI vs. ATL
2021-2022,69,Cameron McGriff,24,1,3,46,5,14,2,6,2,2,6,15,3,0,1,0,7,14,0.357,0.333,1.0,15.3,4.7,5.0,1.0,0.0,0.3,2021-12-27, POR vs. DAL
2021-2022,70,JaQuori McLaughlin,24,1,4,11,0,2,0,1,0,0,0,0,2,0,0,0,1,0,0.0,0.0,,2.8,0.0,0.0,0.5,0.0,0.0,2021-11-02,DAL vs. MIA
2021-2022,71,Davion Mitchell,23,4,253,5331,746,1734,244,756,132,189,82,426,764,138,48,269,416,1868,0.43,0.323,0.698,21.1,7.4,1.7,3.0,0.5,0.2,2021-10-20, SAC @ POR
2021-2022,72,Evan Mobley,20,4,222,7314,1436,2632,89,308,573,825,495,1967,622,187,343,421,549,3534,0.546,0.289,0.695,32.9,15.9,8.9,2.8,0.8,1.5,2021-10-20, CLE @ MEM
2021-2022,73,Moses Moody,19,4,204,2938,440,968,191,527,163,217,120,424,151,73,47,109,213,1234,0.455,0.362,0.751,14.4,6.0,2.1,0.7,0.4,0.2,2021-10-19, GSW @ LAL
2021-2022,74,Xavier Moon,27,3,28,276,43,106,8,34,4,7,10,35,50,10,6,12,19,98,0.406,0.235,0.571,9.9,3.5,1.3,1.8,0.4,0.2,2021-12-27, LAC vs. BRK
2021-2022,75,Ade Murkey,24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2021-12-22, SAC vs. LAC
2021-2022,76,Trey Murphy III,21,4,211,5440,851,1886,478,1234,381,439,158,767,304,178,86,132,315,2561,0.451,0.387,0.868,25.8,12.1,3.6,1.4,0.8,0.4,2021-10-20, NOP vs. PHI
2021-2022,77,RJ Nembhard Jr.,22,1,14,63,6,18,0,2,3,4,3,7,12,1,0,3,2,15,0.333,0.0,0.75,4.5,1.1,0.5,0.9,0.1,0.0,2021-10-22, CLE vs. CHO
2021-2022,78,Daishen Nix,19,4,99,1238,117,329,53,184,44,74,26,138,181,51,7,121,83,331,0.356,0.288,0.595,12.5,3.3,1.4,1.8,0.5,0.1,2021-11-29, HOU vs. OKC
2021-2022,79,Eugene Omoruyi,24,3,87,1056,184,400,39,137,85,128,80,203,65,55,8,55,155,492,0.46,0.285,0.664,12.1,5.7,2.3,0.7,0.6,0.1,2021-10-29, DAL @ DEN
2021-2022,80,Jaysean Paige,27,1,1,7,0,3,0,2,0,0,0,1,1,0,0,1,2,0,0.0,0.0,,7.0,0.0,1.0,1.0,0.0,0.0,2022-01-01,DET vs. SAS
2021-2022,81,Trayvon Palmer,27,1,1,17,0,1,0,0,0,0,0,2,0,0,0,1,2,0,0.0,,,17.0,0.0,2.0,0.0,0.0,0.0,2021-12-29, DET vs. NYK
2021-2022,82,Kevin Pangos,29,1,24,166,15,46,6,26,3,4,2,11,30,3,0,7,11,39,0.326,0.231,0.75,6.9,1.6,0.5,1.3,0.1,0.0,2021-10-22, CLE vs. CHO
2021-2022,83,Jamorko Pickett,24,1,13,176,18,50,13,39,1,2,6,32,7,0,7,5,12,50,0.36,0.333,0.5,13.5,3.8,2.5,0.5,0.0,0.5,2021-10-23, DET @ CHI
2021-2022,84,Yves Pons,22,1,12,71,5,16,3,9,0,2,5,12,1,1,4,1,6,13,0.313,0.333,0.0,5.9,1.1,1.0,0.1,0.1,0.3,2021-11-12, MEM vs. PHO
2021-2022,85,Micah Potter,23,4,31,370,41,85,19,46,8,10,27,101,15,7,10,13,29,109,0.482,0.413,0.8,11.9,3.5,3.3,0.5,0.2,0.3,2022-01-01,DET vs. SAS
2021-2022,86,Myles Powell,24,1,11,52,5,17,1,6,2,2,1,6,3,1,0,3,8,13,0.294,0.167,1.0,4.7,1.2,0.5,0.3,0.1,0.0,2021-12-20, PHI @ BOS
2021-2022,87,Joshua Primo,19,3,56,1068,111,299,45,150,51,68,35,127,99,21,26,72,87,318,0.371,0.3,0.75,19.1,5.7,2.3,1.8,0.4,0.5,2021-10-20, SAS vs. ORL
2021-2022,88,Trevelin Queen,24,4,33,314,37,103,15,57,18,21,18,53,28,14,11,22,26,107,0.359,0.263,0.857,9.5,3.2,1.6,0.8,0.4,0.3,2021-12-18, HOU @ DET
2021-2022,89,Neemias Queta,22,4,69,857,143,233,0,2,49,71,109,270,43,19,52,35,120,335,0.614,0.0,0.69,12.4,4.9,3.9,0.6,0.3,0.8,2021-12-17, SAC vs. MEM
2021-2022,90,Austin Reaves,23,4,227,6561,978,2014,347,952,610,719,152,811,872,148,68,358,394,2913,0.486,0.364,0.848,28.9,12.8,3.6,3.8,0.7,0.3,2021-10-22, LAL vs. PHO
2021-2022,91,Jeremiah Robinson-Earl,21,4,156,2742,356,820,129,380,110,138,222,657,143,82,33,96,205,951,0.434,0.339,0.797,17.6,6.1,4.2,0.9,0.5,0.2,2021-10-20, OKC @ UTA
2021-2022,92,Matt Ryan,24,4,71,746,94,242,77,192,23,26,10,67,34,12,2,29,59,288,0.388,0.401,0.885,10.5,4.1,0.9,0.5,0.2,0.0,2022-04-10, BOS @ MEM
2021-2022,93,Olivier Sarr,22,3,46,633,84,150,16,43,39,51,56,160,25,7,27,29,87,223,0.56,0.372,0.765,13.8,4.8,3.5,0.5,0.2,0.6,2021-12-28, OKC @ SAC
2021-2022,94,Jordan Schakel,23,2,6,36,2,13,2,7,2,2,2,8,1,2,0,1,1,8,0.154,0.286,1.0,6.0,1.3,1.3,0.2,0.3,0.0,2021-12-26, WAS vs. PHI
2021-2022,95,Tre Scott,25,1,2,11,3,6,0,1,0,0,1,2,0,1,1,0,2,6,0.5,0.0,,5.5,3.0,1.0,0.0,0.5,0.5,2021-12-22, CLE @ BOS
2021-2022,96,Alperen Sengun,19,4,236,6514,1406,2704,91,324,713,1000,653,1936,923,237,210,560,754,3616,0.52,0.281,0.713,27.6,15.3,8.2,3.9,1.0,0.9,2021-10-20, HOU @ MIN
2021-2022,97,Day'Ron Sharpe,20,4,145,1925,356,634,13,39,142,227,346,761,143,53,92,144,284,867,0.562,0.333,0.626,13.3,6.0,5.2,1.0,0.4,0.6,2021-10-24, BRK vs. CHO
2021-2022,98,Marko Simonovic,22,2,16,55,6,22,2,9,9,13,6,12,0,1,1,2,11,23,0.273,0.222,0.692,3.4,1.4,0.8,0.0,0.1,0.1,2021-11-22, CHI vs. IND
2021-2022,99,Zavier Simpson,24,2,11,335,36,106,6,25,8,9,6,41,55,12,7,20,26,86,0.34,0.24,0.889,30.5,7.8,3.7,5.0,1.1,0.6,2022-04-05,OKC vs. POR
2021-2022,100,Jericho Sims,23,4,162,2251,179,243,0,1,44,76,247,645,86,40,78,76,239,402,0.737,0.0,0.579,13.9,2.5,4.0,0.5,0.2,0.5,2021-10-20, NYK vs. BOS
2021-2022,101,Javonte Smart,22,2,18,201,19,60,8,27,5,6,5,24,16,6,3,11,12,51,0.317,0.296,0.833,11.2,2.8,1.3,0.9,0.3,0.2,2021-12-04,MIL vs. MIA
2021-2022,102,Xavier Sneed,24,2,13,87,7,20,4,14,4,4,2,11,6,0,1,3,9,22,0.35,0.286,1.0,6.7,1.7,0.8,0.5,0.0,0.1,2021-12-31, MEM vs. SAS
2021-2022,103,Jaden Springer,19,4,74,626,79,191,12,55,43,54,43,100,55,46,20,39,84,213,0.414,0.218,0.796,8.5,2.9,1.4,0.7,0.6,0.3,2021-10-20, PHI @ NOP
2021-2022,104,Jalen Suggs,20,4,202,5367,868,2062,321,972,405,520,146,668,667,273,117,443,537,2462,0.421,0.33,0.779,26.6,12.2,3.3,3.3,1.4,0.6,2021-10-20, ORL @ SAS
2021-2022,105,Craig Sword,28,1,3,19,3,4,0,1,0,0,0,0,1,4,0,1,7,6,0.75,0.0,,6.3,2.0,0.0,0.3,1.3,0.0,2021-12-28, WAS @ MIA
2021-2022,106,Keifer Sykes,28,1,32,566,69,190,27,90,15,17,8,45,62,12,4,33,51,180,0.363,0.3,0.882,17.7,5.6,1.4,1.9,0.4,0.1,2021-12-29, IND vs. CHO
2021-2022,107,Terry Taylor,22,3,95,1166,194,334,19,66,46,67,139,256,61,22,16,39,104,453,0.581,0.288,0.687,12.3,4.8,2.7,0.6,0.2,0.2,2022-01-05,IND vs. BRK
2021-2022,108,Jon Teske,24,1,3,8,0,1,0,0,0,2,0,2,1,1,0,0,1,0,0.0,,0.0,2.7,0.0,0.7,0.3,0.3,0.0,2022-01-03,MEM @ BRK
2021-2022,109,Cam Thomas,20,4,207,4767,1082,2446,291,829,621,725,58,525,405,110,32,290,293,3076,0.442,0.351,0.857,23.0,14.9,2.5,2.0,0.5,0.2,2021-10-19, BRK @ MIL
2021-2022,110,JT Thor,19,4,168,2028,206,483,77,234,58,89,90,343,84,43,63,71,154,547,0.427,0.329,0.652,12.1,3.3,2.0,0.5,0.3,0.4,2021-10-22, CHO @ CLE
2021-2022,111,Isaiah Todd,20,2,18,135,10,45,5,26,4,8,5,24,8,5,2,6,8,29,0.222,0.192,0.5,7.5,1.6,1.3,0.4,0.3,0.1,2021-10-25, WAS @ BRK
2021-2022,112,Franz Wagner,20,4,256,8204,1746,3662,371,1124,850,995,249,1206,925,264,91,484,573,4713,0.477,0.33,0.854,32.0,18.4,4.7,3.6,1.0,0.4,2021-10-20, ORL @ SAS
2021-2022,113,Ish Wainright,27,3,116,1336,132,355,83,252,35,45,75,207,69,62,29,37,174,382,0.372,0.329,0.778,11.5,3.3,1.8,0.6,0.5,0.3,2021-11-19, PHO vs. DAL
2021-2022,114,M.J. Walker,23,1,2,8,0,4,0,2,0,0,0,1,1,2,0,0,1,0,0.0,0.0,,4.0,0.0,0.5,0.5,1.0,0.0,2021-12-31, PHO @ BOS
2021-2022,115,Duane Washington Jr.,21,2,79,1362,267,683,121,326,62,85,6,119,148,32,7,91,89,717,0.391,0.371,0.729,17.2,9.1,1.5,1.9,0.4,0.1,2021-10-29, IND @ BRK
2021-2022,116,Lindy Waters III,24,4,124,1632,232,565,174,469,26,32,38,239,103,48,31,36,128,664,0.411,0.371,0.813,13.2,5.4,1.9,0.8,0.4,0.3,2022-02-11, OKC @ PHI
2021-2022,117,Trendon Watford,21,4,185,3106,520,977,68,195,247,323,155,667,307,85,63,194,370,1355,0.532,0.349,0.765,16.8,7.3,3.6,1.7,0.5,0.3,2021-11-14, POR @ DEN
2021-2022,118,Joe Wieskamp,22,2,38,255,23,70,17,55,7,13,4,18,12,4,3,3,17,70,0.329,0.309,0.538,6.7,1.8,0.5,0.3,0.1,0.1,2021-11-10, SAS vs. SAC
2021-2022,119,Aaron Wiggins,23,4,223,4232,641,1270,187,475,189,242,203,659,271,147,51,186,326,1658,0.505,0.394,0.781,19.0,7.4,3.0,1.2,0.7,0.2,2021-11-14, OKC vs. BRK
2021-2022,120,Lindell Wigginton,23,3,29,294,46,103,15,46,29,46,3,32,37,5,3,25,25,136,0.447,0.326,0.63,10.1,4.7,1.1,1.3,0.2,0.1,2022-01-13, MIL vs. GSW
2021-2022,121,Brandon Williams,22,3,46,774,127,345,34,123,81,117,24,91,113,25,11,67,58,369,0.368,0.276,0.692,16.8,8.0,2.0,2.5,0.5,0.2,2021-12-27, POR vs. DAL
2021-2022,122,Ziaire Williams,20,4,171,3404,489,1157,177,594,157,196,99,480,199,105,34,163,312,1312,0.423,0.298,0.801,19.9,7.7,2.8,1.2,0.6,0.2,2021-10-20, MEM vs. CLE
2021-2022,123,McKinley Wright IV,23,2,32,354,48,101,10,30,13,19,9,47,61,8,5,20,25,119,0.475,0.333,0.684,11.1,3.7,1.5,1.9,0.3,0.2,2021-10-20, MIN vs. HOU
2021-2022,124,Moses Wright,23,1,4,14,1,4,0,1,3,3,1,3,2,0,1,0,0,5,0.25,0.0,1.0,3.5,1.3,0.8,0.5,0.0,0.3,2021-12-22, LAC @ SAC
2021-2022,125,Gabe York,28,2,5,77,10,28,7,24,5,7,0,8,9,4,1,1,9,32,0.357,0.292,0.714,15.4,6.4,1.6,1.8,0.8,0.2,2022-04-09,IND @ PHI
2021-2022,126,Omer Yurtseven,23,3,113,1334,245,458,9,42,62,95,165,525,80,27,40,82,152,561,0.535,0.214,0.653,11.8,5.0,4.6,0.7,0.2,0.4,2021-10-21, MIA vs. MIL
2022-2023,1,Ochai Agbaji,22,3,163,3651,460,1041,189,540,107,145,142,445,202,89,73,128,281,1216,0.442,0.35,0.738,22.4,7.5,2.7,1.2,0.5,0.4,2022-10-19, UTA vs. DEN
2022-2023,2,Patrick Baldwin Jr.,20,3,80,775,111,283,68,192,25,38,21,175,41,26,21,32,74,315,0.392,0.354,0.658,9.7,3.9,2.2,0.5,0.3,0.3,2022-10-30, GSW @ DET
2022-2023,3,Paolo Banchero,20,3,157,5411,1167,2626,215,668,837,1152,178,1095,728,134,90,458,326,3386,0.444,0.322,0.727,34.5,21.6,7.0,4.6,0.9,0.6,2022-10-19, ORL @ DET
2022-2023,4,Dominick Barlow,19,3,63,839,102,200,3,13,48,69,91,215,60,22,33,24,104,255,0.51,0.231,0.696,13.3,4.0,3.4,1.0,0.3,0.5,2022-11-02,SAS vs. TOR
2022-2023,5,MarJon Beauchamp,22,3,111,1344,183,425,79,225,50,69,62,223,67,35,14,79,128,495,0.431,0.351,0.725,12.1,4.5,2.0,0.6,0.3,0.1,2022-10-22, MIL vs. HOU
2022-2023,6,Buddy Boeheim,23,2,20,174,14,56,12,50,10,12,5,16,7,2,1,0,11,50,0.25,0.24,0.833,8.7,2.5,0.8,0.4,0.1,0.1,2022-10-21, DET @ NYK
2022-2023,7,Jamaree Bouyea,23,2,14,166,16,42,3,15,1,2,4,25,15,5,2,13,16,36,0.381,0.2,0.5,11.9,2.6,1.8,1.1,0.4,0.1,2023-02-10, MIA vs. HOU
2022-2023,8,Malaki Branham,19,3,160,3392,584,1339,187,566,130,153,59,359,307,67,17,192,223,1485,0.436,0.33,0.85,21.2,9.3,2.2,1.9,0.4,0.1,2022-10-30, SAS vs. MIN
2022-2023,9,Christian Braun,21,3,181,3633,496,1003,122,322,192,274,154,601,233,113,68,122,291,1306,0.495,0.379,0.701,20.1,7.2,3.3,1.3,0.6,0.4,2022-10-19, DEN @ UTA
2022-2023,10,Kendall Brown,19,2,21,103,12,22,0,3,6,10,5,11,8,4,0,4,18,30,0.545,0.0,0.6,4.9,1.4,0.5,0.4,0.2,0.0,2022-11-23, IND vs. MIN
2022-2023,11,John Butler,20,1,19,221,17,53,8,35,3,4,3,17,11,7,9,1,22,45,0.321,0.229,0.75,11.6,2.4,0.9,0.6,0.4,0.5,2022-11-05,POR @ PHO
2022-2023,12,Jamal Cain,23,3,59,716,96,198,27,78,45,61,43,130,32,29,13,21,63,264,0.485,0.346,0.738,12.1,4.5,2.2,0.5,0.5,0.2,2022-11-12, MIA vs. CHO
2022-2023,13,Julian Champagnie,21,3,116,2530,333,784,199,538,125,149,73,394,150,74,63,95,141,990,0.425,0.37,0.839,21.8,8.5,3.4,1.3,0.6,0.5,2022-11-22, PHI vs. BRK
2022-2023,14,Kennedy Chandler,20,1,36,281,35,83,2,15,6,13,9,38,58,12,5,18,15,78,0.422,0.133,0.462,7.8,2.2,1.1,1.6,0.3,0.1,2022-10-22, MEM @ DAL
2022-2023,15,Max Christie,19,3,132,1935,194,459,84,231,87,106,39,272,112,48,33,67,122,559,0.423,0.364,0.821,14.7,4.2,2.1,0.8,0.4,0.3,2022-10-18, LAL @ GSW
2022-2023,16,Chance Comanche,26,1,1,21,3,5,0,0,1,4,2,3,0,0,1,0,0,7,0.6,,0.25,21.0,7.0,3.0,0.0,0.0,1.0,2023-04-09,POR vs. GSW
2022-2023,17,Xavier Cooks,27,1,10,126,17,28,0,1,4,10,16,38,6,6,4,8,13,38,0.607,0.0,0.4,12.6,3.8,3.8,0.6,0.6,0.4,2023-03-18, WAS vs. SAC
2022-2023,18,Dyson Daniels,19,3,145,3249,366,831,98,317,85,134,141,552,383,202,59,162,268,915,0.44,0.309,0.634,22.4,6.3,3.8,2.6,1.4,0.4,2022-10-19, NOP @ BRK
2022-2023,19,Johnny Davis,20,3,96,1205,153,377,37,127,34,60,34,167,67,39,22,34,120,377,0.406,0.291,0.567,12.6,3.9,1.7,0.7,0.4,0.2,2022-10-25, WAS vs. DET
2022-2023,20,JD Davison,20,3,25,129,15,36,6,17,5,8,4,21,22,4,3,12,10,41,0.417,0.353,0.625,5.2,1.6,0.8,0.9,0.2,0.1,2022-11-11, BOS vs. DEN
2022-2023,21,Darius Days,23,1,4,25,5,12,3,10,2,2,1,6,1,0,1,0,2,15,0.417,0.3,1.0,6.3,3.8,1.5,0.3,0.0,0.3,2023-02-06,HOU vs. SAC
2022-2023,22,Moussa Diabaté,21,3,56,707,68,126,1,2,25,47,127,248,24,28,30,33,62,162,0.54,0.5,0.532,12.6,2.9,4.4,0.4,0.5,0.5,2022-10-27, LAC @ OKC
2022-2023,23,Ousmane Dieng,19,3,88,1120,145,356,56,204,36,50,38,198,96,33,16,49,82,382,0.407,0.275,0.72,12.7,4.3,2.3,1.1,0.4,0.2,2022-10-19, OKC @ MIN
2022-2023,24,Jalen Duren,19,3,151,3997,690,1084,0,6,277,404,491,1509,276,86,135,266,447,1657,0.637,0.0,0.686,26.5,11.0,10.0,1.8,0.6,0.9,2022-10-19, DET vs. ORL
2022-2023,25,Tari Eason,21,3,128,2793,489,1070,100,295,167,227,292,800,140,173,90,141,299,1245,0.457,0.339,0.736,21.8,9.7,6.3,1.1,1.4,0.7,2022-10-19, HOU @ ATL
2022-2023,26,Keon Ellis,23,3,97,1540,163,353,108,256,52,69,54,182,118,85,49,58,170,486,0.462,0.422,0.754,15.9,5.0,1.9,1.2,0.9,0.5,2022-11-17, SAC vs. SAS
2022-2023,27,Simone Fontecchio,27,3,142,2842,416,984,226,609,114,142,107,403,164,65,36,124,205,1172,0.423,0.371,0.803,20.0,8.3,2.8,1.2,0.5,0.3,2022-10-19, UTA vs. DEN
2022-2023,28,Michael Foster Jr.,20,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2022-11-22, PHI vs. BRK
2022-2023,29,Jacob Gilyard,24,2,42,740,61,153,52,129,2,2,9,50,144,36,5,32,42,176,0.399,0.403,1.0,17.6,4.2,1.2,3.4,0.9,0.1,2023-04-09,MEM @ OKC
2022-2023,30,RaiQuan Gray,23,2,4,74,16,29,5,12,2,2,5,16,13,1,2,5,5,39,0.552,0.417,1.0,18.5,9.8,4.0,3.3,0.3,0.5,2023-04-09,BRK vs. PHI
2022-2023,31,A.J. Green,23,3,115,1466,201,457,172,398,26,29,19,160,75,27,6,38,131,600,0.44,0.432,0.897,12.7,5.2,1.4,0.7,0.2,0.1,2022-10-22, MIL vs. HOU
2022-2023,32,AJ Griffin,19,2,92,1572,266,595,111,298,44,49,39,171,78,43,14,50,93,687,0.447,0.372,0.898,17.1,7.5,1.9,0.8,0.5,0.2,2022-10-23, ATL vs. CHO
2022-2023,33,Jordan Hall,21,1,9,83,9,28,3,15,7,9,3,12,11,1,0,7,6,28,0.321,0.2,0.778,9.2,3.1,1.3,1.2,0.1,0.0,2022-11-02,SAS vs. TOR
2022-2023,34,Jaden Hardy,20,3,143,2017,393,945,162,439,146,180,35,250,201,53,12,139,174,1094,0.416,0.369,0.811,14.1,7.7,1.7,1.4,0.4,0.1,2022-10-22, DAL vs. MEM
2022-2023,35,Ron Harper Jr.,22,2,10,52,8,16,3,9,1,1,3,7,5,0,1,0,5,20,0.5,0.333,1.0,5.2,2.0,0.7,0.5,0.0,0.1,2022-10-31, TOR vs. ATL
2022-2023,36,Kevon Harris,25,2,36,463,49,110,16,43,31,41,28,72,17,17,5,22,56,145,0.445,0.372,0.756,12.9,4.0,2.0,0.5,0.5,0.1,2022-10-21, ORL @ ATL
2022-2023,37,Caleb Houstan,20,3,127,1720,153,412,123,349,38,46,64,192,60,27,13,35,130,467,0.371,0.352,0.826,13.5,3.7,1.5,0.5,0.2,0.1,2022-10-19, ORL @ DET
2022-2023,38,Trevor Hudgins,23,1,5,28,2,9,2,8,3,3,0,0,3,0,0,1,1,9,0.222,0.25,1.0,5.6,1.8,0.0,0.6,0.0,0.0,2022-10-22, HOU @ MIL
2022-2023,39,Jaden Ivey,20,3,176,5280,979,2307,291,847,572,767,191,655,787,142,68,502,507,2821,0.424,0.344,0.746,30.0,16.0,3.7,4.5,0.8,0.4,2022-10-19, DET vs. ORL
2022-2023,40,Quenton Jackson,24,3,27,388,58,118,10,36,31,41,12,39,45,14,6,15,40,157,0.492,0.278,0.756,14.4,5.8,1.4,1.7,0.5,0.2,2023-02-11, WAS vs. IND
2022-2023,41,Nikola Jović,19,3,76,1379,198,442,89,244,71,93,42,279,119,46,18,60,122,556,0.448,0.365,0.763,18.1,7.3,3.7,1.6,0.6,0.2,2022-10-26, MIA @ POR
2022-2023,42,Johnny Juzang,21,3,58,945,131,329,77,223,23,31,25,117,53,15,9,27,81,362,0.398,0.345,0.742,16.3,6.2,2.0,0.9,0.3,0.2,2023-02-28, UTA vs. SAS
2022-2023,43,Trevor Keels,19,1,3,8,1,4,1,4,0,0,0,2,0,0,0,0,0,3,0.25,0.25,,2.7,1.0,0.7,0.0,0.0,0.0,2022-10-21, NYK vs. DET
2022-2023,44,Walker Kessler,21,3,156,3724,613,883,7,24,166,299,466,1294,156,64,379,150,339,1399,0.694,0.292,0.555,23.9,9.0,8.3,1.0,0.4,2.4,2022-10-19, UTA vs. DEN
2022-2023,45,Christian Koloko,22,2,73,952,86,172,1,14,39,61,97,208,35,26,63,25,147,212,0.5,0.071,0.639,13.0,2.9,2.8,0.5,0.4,0.9,2022-10-19, TOR vs. CLE
2022-2023,46,Jake LaRavia,21,3,96,1824,232,552,99,283,138,177,107,310,169,64,34,101,177,701,0.42,0.35,0.78,19.0,7.3,3.2,1.8,0.7,0.4,2022-10-19, MEM vs. NYK
2022-2023,47,A.J. Lawson,22,2,57,419,76,165,23,75,17,31,20,71,22,12,3,17,33,192,0.461,0.307,0.548,7.4,3.4,1.2,0.4,0.2,0.1,2022-11-16, MIN @ ORL
2022-2023,48,Kenneth Lofton Jr.,20,2,45,375,85,171,13,41,33,53,31,89,53,11,7,26,52,216,0.497,0.317,0.623,8.3,4.8,2.0,1.2,0.2,0.2,2022-10-22, MEM @ DAL
2022-2023,49,Tyrese Martin,23,2,25,198,31,67,18,40,6,7,9,32,12,4,2,6,14,86,0.463,0.45,0.857,7.9,3.4,1.3,0.5,0.2,0.1,2022-10-23, ATL vs. CHO
2022-2023,50,Bennedict Mathurin,20,3,163,4616,861,1940,220,629,673,811,179,717,282,102,35,304,342,2615,0.444,0.35,0.83,28.3,16.0,4.4,1.7,0.6,0.2,2022-10-19, IND vs. WAS
2022-2023,51,Bryce McGowens,20,3,106,1672,182,434,60,183,126,165,37,195,106,36,16,73,122,550,0.419,0.328,0.764,15.8,5.2,1.8,1.0,0.3,0.2,2022-10-19, CHO @ SAS
2022-2023,52,Justin Minaya,23,3,39,476,29,97,15,61,5,10,33,72,25,11,15,13,45,78,0.299,0.246,0.5,12.2,2.0,1.8,0.6,0.3,0.4,2023-04-04,POR @ MEM
2022-2023,53,Josh Minott,20,3,58,269,46,91,8,26,23,27,10,56,18,12,14,10,32,123,0.505,0.308,0.852,4.6,2.1,1.0,0.3,0.2,0.2,2022-11-28, MIN @ WAS
2022-2023,54,Isaiah Mobley,23,2,22,156,22,52,6,18,4,5,7,30,9,6,3,3,14,54,0.423,0.333,0.8,7.1,2.5,1.4,0.4,0.3,0.1,2022-10-22, CLE @ CHI
2022-2023,55,Chima Moneke,27,1,2,8,1,2,0,0,0,2,2,2,1,0,0,2,2,2,0.5,,0.0,4.0,1.0,1.0,0.5,0.0,0.0,2022-10-27, SAC vs. MEM
2022-2023,56,Wendell Moore Jr.,21,3,66,399,46,97,5,32,15,17,13,67,38,21,9,20,31,112,0.474,0.156,0.882,6.0,1.7,1.0,0.6,0.3,0.1,2022-10-23, MIN @ OKC
2022-2023,57,Keegan Murray,22,3,183,5914,923,2051,432,1156,192,237,258,991,266,158,123,151,447,2470,0.45,0.374,0.81,32.3,13.5,5.4,1.5,0.9,0.7,2022-10-22, SAC vs. LAC
2022-2023,58,Andrew Nembhard,23,3,155,4076,580,1250,160,459,109,136,73,370,676,145,19,245,345,1429,0.464,0.349,0.801,26.3,9.2,2.4,4.4,0.9,0.1,2022-10-21, IND vs. SAS
2022-2023,59,Scotty Pippen Jr.,22,3,53,1157,210,439,56,150,84,117,40,166,238,66,20,109,128,560,0.478,0.373,0.718,21.8,10.6,3.1,4.5,1.2,0.4,2022-10-18, LAL @ GSW
2022-2023,60,Jason Preston,23,2,21,195,24,60,5,21,0,2,8,39,43,4,1,12,10,53,0.4,0.238,0.0,9.3,2.5,1.9,2.0,0.2,0.0,2022-10-23, LAC vs. PHO
2022-2023,61,Lester Quiñones,22,3,45,429,62,154,34,95,25,36,25,79,39,7,2,26,44,183,0.403,0.358,0.694,9.5,4.1,1.8,0.9,0.2,0.0,2023-03-31, GSW vs. SAS
2022-2023,62,Jared Rhoden,23,3,35,455,52,118,17,53,11,14,16,74,20,8,14,11,52,132,0.441,0.321,0.786,13.0,3.8,2.1,0.6,0.2,0.4,2023-01-10, DET @ PHI
2022-2023,63,Orlando Robinson,22,3,73,774,88,172,9,25,44,62,78,221,66,21,21,37,94,229,0.512,0.36,0.71,10.6,3.1,3.0,0.9,0.3,0.3,2022-11-18, MIA @ WAS
2022-2023,64,David Roddy,21,3,149,2639,372,877,123,400,99,146,107,444,158,62,33,127,190,966,0.424,0.308,0.678,17.7,6.5,3.0,1.1,0.4,0.2,2022-10-19, MEM vs. NYK
2022-2023,65,Ryan Rollins,20,3,36,212,31,72,12,25,24,29,8,36,29,18,8,31,28,98,0.431,0.48,0.828,5.9,2.7,1.0,0.8,0.5,0.2,2022-10-18, GSW vs. LAL
2022-2023,66,Dereon Seabron,22,2,11,67,6,18,1,2,5,6,2,8,5,2,1,0,5,18,0.333,0.5,0.833,6.1,1.6,0.7,0.5,0.2,0.1,2022-10-28, NOP @ PHO
