season,rank,player,age,yrs,g,mp,fg,fga,3p,3pa,ft,fta,orb,trb,ast,stl,blk,tov,pf,pts,fg%,3p%,ft%,mp_(per_game),pts_(per_game),trb_(per_game),ast_(per_game),stl_(per_game),blk_(per_game),debut_date,debut_match
2000-2001,30,Kenyon Martin,23,15,757,23134,3875,8031,66,282,1509,2398,1312,5159,1439,893,864,1318,2498,9325,0.483,0.234,0.629,30.6,12.3,6.8,1.9,1.2,1.1,2000-10-31, NJN vs. CLE
2000-2001,31,Desmond Mason,23,10,643,19641,2931,6535,66,254,1839,2485,804,2863,1049,441,230,1032,1432,7767,0.449,0.26,0.74,30.5,12.1,4.5,1.6,0.7,0.4,2000-10-31, SEA @ VAN
2000-2001,32,Dan McClintock,23,1,6,58,9,18,0,0,0,5,10,17,1,0,2,3,11,18,0.5,,0.0,9.7,3.0,2.8,0.2,0.0,0.3,2001-04-05,DEN vs. SAS
2000-2001,33,Paul McPherson,22,1,55,595,109,216,2,12,42,58,40,79,38,25,4,47,80,262,0.505,0.167,0.724,10.8,4.8,1.4,0.7,0.5,0.1,2000-10-31, PHO @ GSW
2000-2001,34,Stanislav Medvedenko,21,7,263,3340,590,1311,2,13,208,281,335,744,136,88,42,159,518,1390,0.45,0.154,0.74,12.7,5.3,2.8,0.5,0.3,0.2,2000-12-28, LAL @ PHO
2000-2001,35,Chris Mihm,21,8,436,8758,1253,2731,3,13,753,1069,865,2302,223,128,444,535,1264,3262,0.459,0.231,0.704,20.1,7.5,5.3,0.5,0.3,1.0,2000-10-31, CLE @ NJN
2000-2001,36,Darius Miles,19,7,446,11730,1874,3973,22,131,737,1250,575,2190,840,384,495,892,1023,4507,0.472,0.168,0.59,26.3,10.1,4.9,1.9,0.9,1.1,2000-10-31, LAC @ UTA
2000-2001,37,Mike Miller,20,17,1032,27812,4016,8747,1590,3910,1351,1757,632,4376,2666,573,229,1561,2043,10973,0.459,0.407,0.769,26.9,10.6,4.2,2.6,0.6,0.2,2000-10-31, ORL vs. WAS
2000-2001,38,Jérôme Moïso,22,5,145,1392,158,323,0,3,70,118,126,395,38,45,68,104,183,386,0.489,0.0,0.593,9.6,2.7,2.7,0.3,0.3,0.5,2000-11-01,BOS vs. DET
2000-2001,39,Hanno Möttölä,24,2,155,2360,292,661,1,16,130,166,130,442,75,31,28,137,337,715,0.442,0.063,0.783,15.2,4.6,2.9,0.5,0.2,0.2,2000-10-31, ATL vs. CHH
2000-2001,40,Mamadou N'Diaye,25,5,69,858,85,199,0,1,92,125,88,225,8,17,64,40,146,262,0.427,0.0,0.736,12.4,3.8,3.3,0.1,0.2,0.9,2001-02-05,TOR vs. BOS
2000-2001,41,Lee Nailon,25,6,306,5820,1121,2366,1,9,379,482,379,936,298,133,53,320,596,2622,0.474,0.111,0.786,19.0,8.6,3.1,1.0,0.4,0.2,2000-11-19, CHH @ DET
2000-2001,42,Eduardo Nájera,24,12,619,11213,1204,2505,110,354,534,796,897,2307,493,446,231,402,1378,3052,0.481,0.311,0.671,18.1,4.9,3.7,0.8,0.7,0.4,2000-10-31, DAL vs. MIL
2000-2001,43,Ira Newble,26,8,380,7645,782,1753,85,249,281,361,403,1114,342,204,105,289,695,1930,0.446,0.341,0.778,20.1,5.1,2.9,0.9,0.5,0.3,2000-11-22, SAS vs. SEA
2000-2001,44,Olumide Oyedeji,19,3,93,587,50,101,0,0,27,41,61,196,11,16,15,30,106,127,0.495,,0.659,6.3,1.4,2.1,0.1,0.2,0.2,2000-12-22, SEA vs. WAS
2000-2001,45,Andy Panko,23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,,1.0,0.0,0.0,0.0,0.0,0.0,2001-01-11, ATL vs. GSW
2000-2001,46,Mike Penberthy,26,2,56,863,93,224,55,139,31,35,10,65,73,24,2,34,57,272,0.415,0.396,0.886,15.4,4.9,1.2,1.3,0.4,0.0,2000-11-12, LAL vs. HOU
2000-2001,47,Morris Peterson,23,11,711,19366,2747,6567,1009,2702,1125,1456,569,2483,1090,639,136,716,1606,7628,0.418,0.373,0.773,27.2,10.7,3.5,1.5,0.9,0.2,2000-10-31, TOR vs. DET
2000-2001,48,Chris Porter,22,1,51,1147,173,445,0,5,94,141,89,189,61,45,6,59,111,440,0.389,0.0,0.667,22.5,8.6,3.7,1.2,0.9,0.1,2000-11-02,GSW @ DEN
2000-2001,49,Lavor Postell,22,3,61,446,59,176,11,44,66,83,11,45,13,12,2,35,28,195,0.335,0.25,0.795,7.3,3.2,0.7,0.2,0.2,0.0,2000-10-31, NYK vs. PHI
2000-2001,50,Joel Przybilla,21,13,592,11733,896,1624,0,3,501,900,1112,3665,256,157,836,574,1604,2293,0.552,0.0,0.557,19.8,3.9,6.2,0.4,0.3,1.4,2000-11-04,MIL vs. DET
2000-2001,51,Michael Redd,21,12,629,20104,4207,9405,1045,2751,2513,2998,622,2411,1338,579,66,963,1002,11972,0.447,0.38,0.838,32.0,19.0,3.8,2.1,0.9,0.1,2000-11-02,MIL @ HOU
2000-2001,52,Quentin Richardson,20,13,783,20785,2923,7360,1167,3288,1019,1420,933,3666,1138,607,148,868,1529,8032,0.397,0.355,0.718,26.5,10.3,4.7,1.5,0.8,0.2,2000-10-31, LAC @ UTA
2000-2001,53,Terrance Roberson,24,1,3,13,0,2,0,1,0,0,0,1,1,0,0,2,3,0,0.0,0.0,,4.3,0.0,0.3,0.3,0.0,0.0,2000-11-20, CHH @ TOR
2000-2001,54,Jamal Robinson,27,1,6,72,3,22,0,2,0,0,3,11,2,6,0,3,7,6,0.136,0.0,,12.0,1.0,1.8,0.3,1.0,0.0,2000-11-01,MIA vs. ORL
2000-2001,55,Soumaila Samake,22,2,47,303,28,72,0,0,12,26,32,76,5,2,19,6,36,68,0.389,,0.462,6.4,1.4,1.6,0.1,0.0,0.4,2000-10-31, NJN vs. CLE
2000-2001,56,Pepe Sánchez,23,2,38,187,9,33,0,1,2,2,7,21,49,16,1,8,24,20,0.273,0.0,1.0,4.9,0.5,0.6,1.3,0.4,0.0,2000-10-31, PHI @ NYK
2000-2001,57,Daniel Santiago,24,4,122,1418,153,326,0,0,111,162,76,260,38,39,47,85,231,417,0.469,,0.685,11.6,3.4,2.1,0.3,0.3,0.4,2000-10-31, PHO @ GSW
2000-2001,58,Jabari Smith,23,4,108,1063,125,303,1,8,78,113,49,178,66,37,26,54,166,329,0.413,0.125,0.69,9.8,3.0,1.6,0.6,0.3,0.2,2001-01-12, SAC @ DEN
2000-2001,59,Mike Smith,24,1,17,180,19,59,3,18,10,16,10,22,10,5,3,7,8,51,0.322,0.167,0.625,10.6,3.0,1.3,0.6,0.3,0.2,2001-03-04,WAS vs. UTA
2000-2001,60,DeShawn Stevenson,19,13,824,18396,2238,5515,550,1617,904,1296,410,1832,1355,423,134,814,1140,5930,0.406,0.34,0.698,22.3,7.2,2.2,1.6,0.5,0.2,2000-10-31, UTA vs. LAC
2000-2001,61,Stromile Swift,21,9,547,10804,1713,3623,2,27,1154,1650,885,2535,275,354,683,690,1357,4582,0.473,0.074,0.699,19.8,8.4,4.6,0.5,0.6,1.2,2000-10-31, VAN vs. SEA
2000-2001,62,Dragan Tarlać,27,1,43,598,39,99,0,0,25,33,37,122,31,7,19,38,95,103,0.394,,0.758,13.9,2.4,2.8,0.7,0.2,0.4,2000-11-03,CHI vs. NJN
2000-2001,63,Jake Tsakalidis,21,7,315,5005,580,1184,0,1,337,513,436,1238,101,73,223,268,689,1497,0.49,0.0,0.657,15.9,4.8,3.9,0.3,0.2,0.7,2000-11-02,PHO vs. POR
2000-2001,64,Hedo Türkoğlu,21,15,997,26695,3851,9034,1246,3246,2074,2645,647,3971,2832,750,299,1578,2403,11022,0.426,0.384,0.784,26.8,11.1,4.0,2.8,0.8,0.3,2000-11-01,SAC @ CLE
