team,player,pos,seasons,year_of_induction
Phoenix Suns,Grant Hill,F,2007-2012,2018
Phoenix Suns,Jason Kidd,G,1996-2001,2018
Phoenix Suns,Steve Nash,G,"1996-1998, 2004-2012",2018
Phoenix Suns,Shaquille O'Neal,C,2008-2009,2016
Phoenix Suns,Dennis Johnson,G,1981-1983,2010
Phoenix Suns,Gus Johnson,F,1973,2010
Phoenix Suns,Charles Barkley,F,1993-1996,2006
Phoenix Suns,Gail Goodrich,G,1969-1970,1996
Phoenix Suns,Connie Hawkins,F,1970-1974,1992
Sacramento Kings,Chris Webber,F,1999-2005,2021
Sacramento Kings,Vlade Divac,C,1999-2004,2019
Sacramento Kings,Jo Jo White,G,1981,2015
Sacramento Kings,Guy Rodgers,G,1968,2014
Sacramento Kings,Mitch Richmond,G,1992-1998,2014
Sacramento Kings,Sarunas Marciulionis,G,1996,2014
Sacramento Kings,Ralph Sampson,C,1990-1991,2012
Sacramento Kings,Maurice Stokes,F,1956-1958,2004
Sacramento Kings,Arnie Risen,C,1949-1955,1998
Sacramento Kings,Tiny Archibald,G,1971-1976,1991
Sacramento Kings,Clyde Lovellette,C,1958,1988
Sacramento Kings,Bobby Wanzer,G,1949-1957,1987
Sacramento Kings,Jack Twyman,F,1956-1966,1983
Sacramento Kings,Jerry Lucas,F,1964-1970,1980
Sacramento Kings,Oscar Robertson,G,1961-1970,1980
Sacramento Kings,Bob Cousy,G,1970,1971
Sacramento Kings,Bob Davies,G,1949-1955,1970
Dallas Mavericks,Dirk Nowitzki,F-C,1998-2019,2023
Dallas Mavericks,Tim Hardaway,G,2002,2022
Dallas Mavericks,Jason Kidd,G,"1994-1997, 2007-2012",2018
Dallas Mavericks,Steve Nash,G,1998-2004,2018
Dallas Mavericks,Dennis Rodman,F,2000,2011
Dallas Mavericks,Adrian Dantley,F,1989-1990,2008
Dallas Mavericks,Alex English,F,1991,1997
Houston Rockets,Tracy McGrady,G-F,2004-2010,2017
Houston Rockets,Yao Ming,C,2003-2011,2016
Houston Rockets,Dikembe Mutombo,C,2005-2009,2015
Houston Rockets,Ralph Sampson,C,1984-1988,2012
Houston Rockets,Scottie Pippen,F,1999,2010
Houston Rockets,Hakeem Olajuwon,C,1985-2001,2008
Houston Rockets,Charles Barkley,F,1997-2000,2006
Houston Rockets,Clyde Drexler,G,1995-1998,2004
Houston Rockets,Moses Malone,C,1977-1982,2001
Houston Rockets,Calvin Murphy,G,1971-1983,1993
Houston Rockets,Elvin Hayes,F,"1969-1972, 1982-1984",1990
Houston Rockets,Rick Barry,F,1979-1980,1987
Memphis Grizzlies,Pau Gasol,F-C,2001-2008,2023
Memphis Grizzlies,Allen Iverson,G,2010,2016
New Orleans Pelicans,Spencer Haywood,F,1979,2015
San Antonio Spurs,Pau Gasol,F-C,2016-2019,2023
San Antonio Spurs,Tony Parker,G,2001-2018,2023
San Antonio Spurs,Manu Ginobili,G,2003-2018,2022
