Eastern Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Chicago Bulls,41,41,0.5,23.0,97.8,97.2,0.51,2006
Milwaukee Bucks,40,42,0.488,24.0,97.8,98.8,-1.07,2006
Miami Heat,52,30,0.634,0.0,99.9,96.0,3.59,2006
Washington Wizards,42,40,0.512,10.0,101.7,99.8,1.57,2006
Orlando Magic,36,46,0.439,16.0,94.9,96.0,-1.26,2006
Charlotte Bobcats,26,56,0.317,26.0,96.9,100.9,-3.9,2006
Atlanta Hawks,26,56,0.317,26.0,97.2,102.0,-4.69,2006
Toronto Raptors,47,35,0.573,0.0,99.5,98.5,0.61,2007
New Jersey Nets,41,41,0.5,6.0,97.6,98.3,-1.0,2007
Philadelphia 76ers,35,47,0.427,12.0,94.9,98.0,-3.26,2007
New York Knicks,33,49,0.402,14.0,97.5,100.3,-3.06,2007
Boston Celtics,24,58,0.293,23.0,95.8,99.2,-3.7,2007
Detroit Pistons,53,29,0.646,0.0,96.0,91.8,3.69,2007
Cleveland Cavaliers,50,32,0.61,3.0,96.8,92.9,3.33,2007
Chicago Bulls,49,33,0.598,4.0,98.8,93.8,4.52,2007
Indiana Pacers,35,47,0.427,18.0,95.6,98.0,-2.62,2007
Milwaukee Bucks,28,54,0.341,25.0,99.7,104.0,-4.43,2007
Miami Heat,44,38,0.537,0.0,94.6,95.5,-1.21,2007
Washington Wizards,41,41,0.5,3.0,104.3,104.9,-0.8,2007
Orlando Magic,40,42,0.488,4.0,94.8,94.0,0.35,2007
Charlotte Bobcats,33,49,0.402,11.0,96.9,100.6,-3.97,2007
Atlanta Hawks,30,52,0.366,14.0,93.7,98.4,-4.86,2007
Boston Celtics,66,16,0.805,0.0,100.5,90.3,9.3,2008
Toronto Raptors,41,41,0.5,25.0,100.2,97.3,2.47,2008
Philadelphia 76ers,40,42,0.488,26.0,96.6,96.2,0.19,2008
New Jersey Nets,34,48,0.415,32.0,95.8,100.9,-5.15,2008
New York Knicks,23,59,0.28,43.0,96.9,103.5,-6.55,2008
Detroit Pistons,59,23,0.72,0.0,97.5,90.1,6.67,2008
Cleveland Cavaliers,45,37,0.549,14.0,96.4,96.7,-0.53,2008
Indiana Pacers,36,46,0.439,23.0,104.0,105.4,-1.87,2008
Chicago Bulls,33,49,0.402,26.0,97.3,100.4,-3.19,2008
Milwaukee Bucks,26,56,0.317,33.0,97.0,103.9,-6.92,2008
Orlando Magic,52,30,0.634,0.0,104.5,99.0,4.79,2008
Washington Wizards,43,39,0.524,9.0,98.8,99.2,-0.61,2008
Atlanta Hawks,37,45,0.451,15.0,98.2,100.0,-2.23,2008
Charlotte Bobcats,32,50,0.39,20.0,97.1,101.4,-4.49,2008
Miami Heat,15,67,0.183,37.0,91.4,100.0,-8.53,2008
Boston Celtics,62,20,0.756,0.0,100.9,93.4,7.44,2009
Philadelphia 76ers,41,41,0.5,21.0,97.4,97.3,0.16,2009
New Jersey Nets,34,48,0.415,28.0,98.1,100.5,-2.31,2009
Toronto Raptors,33,49,0.402,29.0,99.0,101.9,-2.54,2009
New York Knicks,32,50,0.39,30.0,105.2,107.8,-2.33,2009
Cleveland Cavaliers,66,16,0.805,0.0,100.3,91.4,8.68,2009
Chicago Bulls,41,41,0.5,25.0,102.2,102.5,-0.16,2009
Detroit Pistons,39,43,0.476,27.0,94.2,94.7,-0.36,2009
Indiana Pacers,36,46,0.439,30.0,105.1,106.2,-0.76,2009
Milwaukee Bucks,34,48,0.415,32.0,99.3,100.4,-0.88,2009
Orlando Magic,59,23,0.72,0.0,101.0,94.4,6.48,2009
Atlanta Hawks,47,35,0.573,12.0,98.1,96.5,1.7,2009
Miami Heat,43,39,0.524,16.0,98.3,98.0,0.49,2009
Charlotte Bobcats,35,47,0.427,24.0,93.6,94.9,-1.2,2009
Washington Wizards,19,63,0.232,40.0,96.1,103.5,-6.98,2009
Boston Celtics,50,32,0.61,0.0,99.2,95.6,3.37,2010
Toronto Raptors,40,42,0.488,10.0,104.1,105.9,-1.83,2010
New York Knicks,29,53,0.354,21.0,102.1,105.9,-4.01,2010
Philadelphia 76ers,27,55,0.329,23.0,97.7,101.6,-3.93,2010
New Jersey Nets,12,70,0.146,38.0,92.4,101.5,-8.93,2010
Cleveland Cavaliers,61,21,0.744,0.0,102.1,95.6,6.17,2010
Milwaukee Bucks,46,36,0.561,15.0,97.7,96.0,1.37,2010
Chicago Bulls,41,41,0.5,20.0,97.5,99.1,-1.64,2010
Indiana Pacers,32,50,0.39,29.0,100.8,103.8,-3.11,2010
