Western Conference,W,L,W/L%,GB,PS/G,PA/G,SRS,Year
Houston Rockets,55,27,0.671,1.0,96.7,92.0,4.83,2008
Dallas Mavericks,51,31,0.622,5.0,100.4,95.9,4.7,2008
Memphis Grizzlies,22,60,0.268,34.0,100.7,106.9,-5.76,2008
Denver Nuggets,54,28,0.659,0.0,104.3,100.9,3.13,2009
Portland Trail Blazers,54,28,0.659,0.0,99.4,94.1,5.0,2009
Utah Jazz,48,34,0.585,6.0,103.6,100.9,2.31,2009
Minnesota Timberwolves,24,58,0.293,30.0,97.8,102.7,-4.74,2009
Oklahoma City Thunder,23,59,0.28,31.0,97.0,103.1,-6.04,2009
Los Angeles Lakers,65,17,0.793,0.0,106.9,99.3,7.11,2009
Phoenix Suns,46,36,0.561,19.0,109.4,107.5,1.62,2009
Golden State Warriors,29,53,0.354,36.0,108.6,112.3,-3.8,2009
Los Angeles Clippers,19,63,0.232,46.0,95.1,103.9,-8.47,2009
Sacramento Kings,17,65,0.207,48.0,100.6,109.3,-8.6,2009
San Antonio Spurs,54,28,0.659,0.0,97.0,93.3,3.36,2009
Houston Rockets,53,29,0.646,1.0,98.4,94.4,3.73,2009
Dallas Mavericks,50,32,0.61,4.0,101.7,99.8,1.68,2009
New Orleans Hornets,49,33,0.598,5.0,95.8,94.3,1.41,2009
Memphis Grizzlies,24,58,0.293,30.0,93.9,99.3,-5.23,2009
Denver Nuggets,53,29,0.646,0.0,106.5,102.4,4.15,2010
Utah Jazz,53,29,0.646,0.0,104.2,98.9,5.33,2010
Portland Trail Blazers,50,32,0.61,3.0,98.1,94.8,3.18,2010
Oklahoma City Thunder,50,32,0.61,3.0,101.5,98.0,3.55,2010
Minnesota Timberwolves,15,67,0.183,38.0,98.2,107.8,-9.06,2010
Los Angeles Lakers,57,25,0.695,0.0,101.7,97.0,4.78,2010
Phoenix Suns,54,28,0.659,3.0,110.2,105.3,4.67,2010
Los Angeles Clippers,29,53,0.354,28.0,95.7,102.1,-6.01,2010
Golden State Warriors,26,56,0.317,31.0,108.8,112.4,-3.28,2010
Sacramento Kings,25,57,0.305,32.0,100.0,104.4,-4.06,2010
Dallas Mavericks,55,27,0.671,0.0,102.0,99.3,2.66,2010
San Antonio Spurs,50,32,0.61,5.0,101.4,96.3,5.07,2010
Houston Rockets,42,40,0.512,13.0,102.4,102.7,-0.02,2010
Memphis Grizzlies,40,42,0.488,15.0,102.5,104.0,-1.39,2010
New Orleans Hornets,37,45,0.451,18.0,100.2,102.7,-2.27,2010
Oklahoma City Thunder,55,27,0.671,0.0,104.8,101.0,3.81,2011
Denver Nuggets,50,32,0.61,5.0,107.5,102.7,4.81,2011
Portland Trail Blazers,48,34,0.585,7.0,96.3,94.8,1.85,2011
Utah Jazz,39,43,0.476,16.0,99.4,101.3,-1.44,2011
Minnesota Timberwolves,17,65,0.207,38.0,101.1,107.7,-5.97,2011
Los Angeles Lakers,57,25,0.695,0.0,101.5,95.4,6.01,2011
Phoenix Suns,40,42,0.488,17.0,105.0,105.9,-0.46,2011
Golden State Warriors,36,46,0.439,21.0,103.4,105.7,-2.0,2011
Los Angeles Clippers,32,50,0.39,25.0,98.6,101.8,-2.71,2011
Sacramento Kings,24,58,0.293,33.0,99.4,104.7,-4.8,2011
San Antonio Spurs,61,21,0.744,0.0,103.7,98.0,5.86,2011
Dallas Mavericks,57,25,0.695,4.0,100.2,96.0,4.41,2011
New Orleans Hornets,46,36,0.561,15.0,94.9,94.0,1.28,2011
Memphis Grizzlies,46,36,0.561,15.0,99.9,97.6,2.55,2011
Houston Rockets,43,39,0.524,18.0,105.9,103.7,2.37,2011
Oklahoma City Thunder,47,19,0.712,0.0,103.1,96.9,6.44,2012
Denver Nuggets,38,28,0.576,9.0,104.1,101.2,3.16,2012
Utah Jazz,36,30,0.545,11.0,99.7,99.0,0.92,2012
Portland Trail Blazers,28,38,0.424,19.0,97.2,97.8,-0.22,2012
Minnesota Timberwolves,26,40,0.394,21.0,97.9,100.1,-1.83,2012
Los Angeles Lakers,41,25,0.621,0.0,97.3,95.9,1.96,2012
Los Angeles Clippers,40,26,0.606,1.0,97.5,95.0,2.82,2012
Phoenix Suns,33,33,0.5,8.0,98.4,98.6,0.29,2012
Golden State Warriors,23,43,0.348,18.0,97.8,101.2,-2.79,2012
Sacramento Kings,22,44,0.333,19.0,98.8,104.4,-4.95,2012
San Antonio Spurs,50,16,0.758,0.0,103.7,96.5,7.28,2012
Memphis Grizzlies,41,25,0.621,9.0,95.0,93.0,2.43,2012
Dallas Mavericks,36,30,0.545,14.0,95.8,94.8,1.78,2012
Houston Rockets,34,32,0.515,16.0,98.1,97.9,0.57,2012
New Orleans Hornets,21,45,0.318,29.0,89.6,93.4,-3.11,2012
Oklahoma City Thunder,60,22,0.732,0.0,105.7,96.5,9.15,2013
Denver Nuggets,57,25,0.695,3.0,106.1,101.1,5.37,2013
Utah Jazz,43,39,0.524,17.0,98.0,98.1,0.3,2013
Portland Trail Blazers,33,49,0.402,27.0,97.5,100.7,-2.53,2013
Minnesota Timberwolves,31,51,0.378,29.0,95.7,98.1,-1.83,2013
Los Angeles Clippers,56,26,0.683,0.0,101.1,94.6,6.43,2013
Golden State Warriors,47,35,0.573,9.0,101.2,100.3,1.32,2013
Los Angeles Lakers,45,37,0.549,11.0,102.2,101.0,1.48,2013
Sacramento Kings,28,54,0.341,28.0,100.2,105.1,-4.26,2013
Phoenix Suns,25,57,0.305,31.0,95.2,101.6,-5.75,2013
San Antonio Spurs,58,24,0.707,0.0,103.0,96.6,6.67,2013
Memphis Grizzlies,56,26,0.683,2.0,93.4,89.3,4.32,2013
Houston Rockets,45,37,0.549,13.0,106.0,102.5,3.69,2013
Dallas Mavericks,41,41,0.5,17.0,101.1,101.7,-0.24,2013
New Orleans Hornets,27,55,0.329,31.0,94.1,97.9,-3.12,2013
Oklahoma City Thunder,59,23,0.72,0.0,106.2,99.8,6.66,2014
Portland Trail Blazers,54,28,0.659,5.0,106.7,102.8,4.44,2014
Minnesota Timberwolves,40,42,0.488,19.0,106.9,104.3,3.1,2014
Denver Nuggets,36,46,0.439,23.0,104.4,106.5,-1.4,2014
Utah Jazz,25,57,0.305,34.0,95.0,102.2,-6.27,2014
Los Angeles Clippers,57,25,0.695,0.0,107.9,101.0,7.27,2014
Golden State Warriors,51,31,0.622,6.0,104.3,99.5,5.15,2014
Phoenix Suns,48,34,0.585,9.0,105.2,102.6,3.02,2014
Sacramento Kings,28,54,0.341,29.0,100.5,103.4,-2.08,2014
Los Angeles Lakers,27,55,0.329,30.0,103.0,109.2,-5.33,2014
San Antonio Spurs,62,20,0.756,0.0,105.4,97.6,8.0,2014
Houston Rockets,54,28,0.659,8.0,107.7,103.1,5.06,2014
Memphis Grizzlies,50,32,0.61,12.0,96.1,94.6,2.18,2014
Dallas Mavericks,49,33,0.598,13.0,104.8,102.4,2.91,2014
New Orleans Pelicans,34,48,0.415,28.0,99.7,102.4,-1.98,2014
Portland Trail Blazers,51,31,0.622,0.0,102.8,98.6,4.41,2015
Oklahoma City Thunder,45,37,0.549,6.0,104.0,101.8,2.47,2015
Utah Jazz,38,44,0.463,13.0,95.1,94.9,0.71,2015
Denver Nuggets,30,52,0.366,21.0,101.5,105.0,-3.07,2015
Minnesota Timberwolves,16,66,0.195,35.0,97.8,106.5,-8.0,2015
Golden State Warriors,67,15,0.817,0.0,110.0,99.9,10.01,2015
Los Angeles Clippers,56,26,0.683,11.0,106.7,100.1,6.8,2015
Phoenix Suns,39,43,0.476,28.0,102.4,103.3,-0.38,2015
Sacramento Kings,29,53,0.354,38.0,101.3,105.0,-3.07,2015
