Team Name,Player Link,Player,#,Pos,Seasons With Team,Year of Induction
UTAH JAZZ,https://www.nba.com/player/252,Karl Malone,32,F,1986-2003,2006
UTAH JAZZ,https://www.nba.com/player/304,John Stockton,12,G,1985-2003,2004
UTAH JAZZ,https://www.nba.com/player/204,Jeff Hornacek,14,G,1995-2000,2002
UTAH JAZZ,https://www.nba.com/player/76631,Mark Eaton,53,C,1983-1993,1996
UTAH JAZZ,https://www.nba.com/player/76890,Darrell Griffith,35,G,1981-1991,1993
UTAH JAZZ,,Frank Layden,1,Coach,1982-1988,1988
UTAH JAZZ,https://www.nba.com/player/77459,Pete Maravich,7,G,1975-1980,1985
GOLDEN STATE WARRIORS,https://www.nba.com/player/904,Chris Mullin,17,F,"1986-1997, 2001",2012
GOLDEN STATE WARRIORS,https://www.nba.com/player/76375,Wilt Chamberlain,13,C,1960-1965,1999
GOLDEN STATE WARRIORS,https://www.nba.com/player/600013,Rick Barry,24,F,"1966-1967, 1973-1978",1988
GOLDEN STATE WARRIORS,https://www.nba.com/player/600001,Nate Thurmond,42,C,1964-1974,1978
GOLDEN STATE WARRIORS,https://www.nba.com/player/76070,Alvin Attles,16,G,1961-1971,1977
GOLDEN STATE WARRIORS,https://www.nba.com/player/77584,Tom Meschery,14,F,1962-1971,1967
LOS ANGELES LAKERS,https://www.nba.com/player/977,Kobe Bryant,"8,24",G,1996-2016,2017
LOS ANGELES LAKERS,https://www.nba.com/player/406,Shaquille O'Neal,34,C,1997-2004,2013
LOS ANGELES LAKERS,https://www.nba.com/player/78532,Jamaal Wilkes,52,F,1978-1985,2012
LOS ANGELES LAKERS,,Chick Hearn,,Broadcaster,1962-2002,2002
LOS ANGELES LAKERS,https://www.nba.com/player/76832,Gail Goodrich,25,G,"1966-1968, 1971-1976",1996
LOS ANGELES LAKERS,https://www.nba.com/player/1460,James Worthy,42,F,1983-1994,1995
LOS ANGELES LAKERS,https://www.nba.com/player/77142,"Earvin ""Magic"" Johnson",32,G,"1980-1991, 1996",1992
LOS ANGELES LAKERS,https://www.nba.com/player/76003,Kareem Abdul-Jabbar,33,C,1976-1989,1989
LOS ANGELES LAKERS,https://www.nba.com/player/76127,Elgin Baylor,22,F,1959-1972,1983
LOS ANGELES LAKERS,https://www.nba.com/player/78497,Jerry West,44,G,1961-1974,1983
LOS ANGELES LAKERS,https://www.nba.com/player/76375,Wilt Chamberlain,13,C,1969-1973,1983
PHOENIX SUNS,https://www.nba.com/player/959,Steve Nash,13,G,2005-2012,2015
PHOENIX SUNS,,Jerry Colangelo,,General Manager,1968-2012,2007
PHOENIX SUNS,,Cotton Fitzsimmons,832,Coach,"1970-1972, 1989-1992, 199",2005
PHOENIX SUNS,https://www.nba.com/player/787,Charles Barkley,34,F,1993-1996,2004
PHOENIX SUNS,https://www.nba.com/player/105,Dan Majerle,9,F,"1989-1995, 2002",2003
PHOENIX SUNS,,Joe Proski,,Trainer,1968-2000,2001
PHOENIX SUNS,https://www.nba.com/player/134,Kevin Johnson,7,G,"1989-1998, 2000",2001
