#,PLAYER,TEAM,GP,MIN,PTS,FGM,FGA,FG%,3PM,3PA,3P%,FTM,FTA,FT%,OREB,DREB,REB,AST,STL,BLK,TOV,EFF
167,Nic Claxton,BKN,11,24.8,8.6,3.7,5.7,65.1,0.0,0.0,0.0,1.2,2.5,46.4,2.0,5.7,7.7,2.5,0.5,1.2,1.0,16.3
169,Kyshawn George,WAS,13,27.8,8.6,3.0,8.6,34.8,1.5,5.7,27.0,1.1,1.5,70.0,0.6,3.5,4.2,3.0,0.8,0.9,0.8,10.6
170,Nickeil Alexander-Walker,MIN,15,23.8,8.6,3.1,6.1,50.5,1.6,3.3,48.0,0.9,1.2,72.2,0.6,2.1,2.7,2.5,1.1,0.3,1.5,10.3
171,Andre Drummond,PHI,13,21.7,8.5,3.5,6.8,51.1,0.1,0.4,20.0,1.5,3.0,51.3,3.1,5.8,8.9,0.5,1.4,0.5,1.8,13.2
172,Trayce Jackson-Davis,GSW,14,17.2,8.4,3.7,5.6,66.7,0.0,0.0,0.0,1.0,1.7,58.3,1.4,3.8,5.1,2.4,0.4,0.6,0.9,13.4
173,Nikola Jović,MIA,13,19.2,8.3,3.0,6.5,45.9,1.1,3.3,32.6,1.2,1.5,80.0,0.6,3.3,3.9,1.3,1.0,0.1,0.6,10.2
174,Taurean Prince,MIL,15,29.6,8.3,3.1,6.5,46.9,1.9,3.9,50.0,0.2,0.2,100,0.9,4.3,5.1,2.1,1.0,0.1,1.2,11.9
175,Kevin Porter Jr.,LAC,16,17.2,8.3,3.4,8.3,41.7,0.5,2.3,22.2,0.9,1.5,58.3,0.6,2.4,3.1,2.9,0.7,0.3,2.3,7.4
176,Cameron Payne,NYK,11,17.1,8.2,3.1,7.0,44.2,1.8,4.1,44.4,0.2,0.4,50.0,0.5,1.2,1.7,3.4,0.7,0.2,0.6,9.5
177,Davion Mitchell,TOR,16,29.1,8.1,3.1,7.4,41.2,0.9,3.3,28.3,1.0,1.4,72.7,0.6,2.1,2.7,6.0,0.9,0.3,2.2,11.0
178,AJ Green,MIL,14,18.6,7.9,2.6,5.3,50.0,2.4,4.9,49.3,0.2,0.3,75.0,0.2,1.6,1.8,0.9,0.6,0.1,0.4,8.2
