Team Name,Achievement Type,Year
LOS ANGELES LAKERS,Division Titles,1987
LOS ANGELES LAKERS,Division Titles,1988
LOS ANGELES LAKERS,Division Titles,1989
LOS ANGELES LAKERS,Division Titles,1990
LOS ANGELES LAKERS,Division Titles,2000
LOS ANGELES LAKERS,Division Titles,2001
LOS ANGELES LAKERS,Division Titles,2004
LOS ANGELES LAKERS,Division Titles,2008
LOS ANGELES LAKERS,Division Titles,2009
LOS ANGELES LAKERS,Division Titles,2010
LOS ANGELES LAKERS,Division Titles,2011
LOS ANGELES LAKERS,Division Titles,2012
LOS ANGELES LAKERS,Division Titles,2020
PHOENIX SUNS,Conference Titles,1976
PHOENIX SUNS,Conference Titles,1993
PHOENIX SUNS,Conference Titles,2021
PHOENIX SUNS,Division Titles,1981
PHOENIX SUNS,Division Titles,1993
PHOENIX SUNS,Division Titles,1995
PHOENIX SUNS,Division Titles,2005
PHOENIX SUNS,Division Titles,2006
PHOENIX SUNS,Division Titles,2007
PHOENIX SUNS,Division Titles,2021
PHOENIX SUNS,Division Titles,2022
SACRAMENTO KINGS,Championship Wins,1951
SACRAMENTO KINGS,Division Titles,1949
SACRAMENTO KINGS,Division Titles,1952
SACRAMENTO KINGS,Division Titles,1979
SACRAMENTO KINGS,Division Titles,2002
SACRAMENTO KINGS,Division Titles,2003
SACRAMENTO KINGS,Division Titles,2023
DALLAS MAVERICKS,Championship Wins,2011
DALLAS MAVERICKS,Conference Titles,2006
DALLAS MAVERICKS,Conference Titles,2011
DALLAS MAVERICKS,Division Titles,1987
DALLAS MAVERICKS,Division Titles,2007
DALLAS MAVERICKS,Division Titles,2010
DALLAS MAVERICKS,Division Titles,2021
DALLAS MAVERICKS,Division Titles,2024
MEMPHIS GRIZZLIES,Division Titles,2022
MEMPHIS GRIZZLIES,Division Titles,2023
NEW ORLEANS PELICANS,Division Titles,2008
SAN ANTONIO SPURS,Championship Wins,1999
SAN ANTONIO SPURS,Championship Wins,2003
SAN ANTONIO SPURS,Championship Wins,2005
SAN ANTONIO SPURS,Championship Wins,2007
SAN ANTONIO SPURS,Championship Wins,2014
SAN ANTONIO SPURS,Conference Titles,1999
SAN ANTONIO SPURS,Conference Titles,2003
SAN ANTONIO SPURS,Conference Titles,2005
SAN ANTONIO SPURS,Conference Titles,2007
SAN ANTONIO SPURS,Conference Titles,2013
SAN ANTONIO SPURS,Conference Titles,2014
SAN ANTONIO SPURS,Division Titles,1978
SAN ANTONIO SPURS,Division Titles,1979
SAN ANTONIO SPURS,Division Titles,1981
SAN ANTONIO SPURS,Division Titles,1982
SAN ANTONIO SPURS,Division Titles,1983
SAN ANTONIO SPURS,Division Titles,1990
SAN ANTONIO SPURS,Division Titles,1991
SAN ANTONIO SPURS,Division Titles,1995
SAN ANTONIO SPURS,Division Titles,1996
SAN ANTONIO SPURS,Division Titles,1999
SAN ANTONIO SPURS,Division Titles,2001
SAN ANTONIO SPURS,Division Titles,2002
SAN ANTONIO SPURS,Division Titles,2003
SAN ANTONIO SPURS,Division Titles,2005
SAN ANTONIO SPURS,Division Titles,2006
SAN ANTONIO SPURS,Division Titles,2009
SAN ANTONIO SPURS,Division Titles,2011
SAN ANTONIO SPURS,Division Titles,2012
SAN ANTONIO SPURS,Division Titles,2013
SAN ANTONIO SPURS,Division Titles,2014
SAN ANTONIO SPURS,Division Titles,2016
SAN ANTONIO SPURS,Division Titles,2017
